Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.699028E+03,0.000000E+00,8.767486E-02,0.000000E+00,2.062992E+03,0.000000E+00,1.064569E-01,0.000000E+00,2.216484E+03,0.000000E+00,1.143777E-01,0.000000E+00,2.015193E+03,0.000000E+00,1.039903E-01,0.000000E+00,5.324434E+03,0.000000E+00,2.747206E-01,0.000000E+00
00:30:00,1.793378E+03,0.000000E+00,9.254169E-02,0.000000E+00,2.153251E+03,0.000000E+00,1.111124E-01,0.000000E+00,2.303908E+03,0.000000E+00,1.188868E-01,0.000000E+00,2.105720E+03,0.000000E+00,1.086596E-01,0.000000E+00,5.549769E+03,0.000000E+00,2.863368E-01,0.000000E+00
00:45:00,1.886715E+03,0.000000E+00,9.735625E-02,0.000000E+00,2.242500E+03,0.000000E+00,1.157157E-01,0.000000E+00,2.390333E+03,0.000000E+00,1.233443E-01,0.000000E+00,2.195248E+03,0.000000E+00,1.132774E-01,0.000000E+00,5.768267E+03,0.000000E+00,2.976001E-01,0.000000E+00
01:00:00,1.978990E+03,0.000000E+00,1.021159E-01,0.000000E+00,2.330696E+03,0.000000E+00,1.202647E-01,0.000000E+00,2.475717E+03,0.000000E+00,1.277480E-01,0.000000E+00,2.283732E+03,0.000000E+00,1.178412E-01,0.000000E+00,5.979909E+03,0.000000E+00,3.085093E-01,0.000000E+00
01:15:00,2.013479E+03,0.000000E+00,1.038954E-01,0.000000E+00,2.361447E+03,0.000000E+00,1.218513E-01,0.000000E+00,2.504382E+03,0.000000E+00,1.292269E-01,0.000000E+00,2.315003E+03,0.000000E+00,1.194547E-01,0.000000E+00,6.026077E+03,0.000000E+00,3.108895E-01,0.000000E+00
01:30:00,2.047884E+03,0.000000E+00,1.056703E-01,0.000000E+00,2.392147E+03,0.000000E+00,1.234350E-01,0.000000E+00,2.533019E+03,0.000000E+00,1.307041E-01,0.000000E+00,2.346235E+03,0.000000E+00,1.210658E-01,0.000000E+00,6.072326E+03,0.000000E+00,3.132727E-01,0.000000E+00
01:45:00,2.082191E+03,0.000000E+00,1.074401E-01,0.000000E+00,2.422789E+03,0.000000E+00,1.250156E-01,0.000000E+00,2.561621E+03,0.000000E+00,1.321794E-01,0.000000E+00,2.377418E+03,0.000000E+00,1.226744E-01,0.000000E+00,6.118684E+03,0.000000E+00,3.156618E-01,0.000000E+00
02:00:00,2.116378E+03,0.000000E+00,1.092038E-01,0.000000E+00,2.453356E+03,0.000000E+00,1.265924E-01,0.000000E+00,2.590171E+03,0.000000E+00,1.336521E-01,0.000000E+00,2.408532E+03,0.000000E+00,1.242794E-01,0.000000E+00,6.165137E+03,0.000000E+00,3.180564E-01,0.000000E+00
02:15:00,2.150569E+03,0.000000E+00,1.109677E-01,0.000000E+00,2.483978E+03,0.000000E+00,1.281722E-01,0.000000E+00,2.618797E+03,0.000000E+00,1.351289E-01,0.000000E+00,2.439706E+03,0.000000E+00,1.258876E-01,0.000000E+00,6.211660E+03,0.000000E+00,3.204552E-01,0.000000E+00
02:30:00,2.184749E+03,0.000000E+00,1.127311E-01,0.000000E+00,2.514646E+03,0.000000E+00,1.297544E-01,0.000000E+00,2.647490E+03,0.000000E+00,1.366092E-01,0.000000E+00,2.470928E+03,0.000000E+00,1.274985E-01,0.000000E+00,6.258243E+03,0.000000E+00,3.228576E-01,0.000000E+00
