Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.319052E+03,0.000000E+00,1.196703E-01,0.000000E+00,3.169942E+03,0.000000E+00,1.635785E-01,0.000000E+00,2.925149E+03,0.000000E+00,1.509471E-01,0.000000E+00,2.670841E+03,0.000000E+00,1.378241E-01,0.000000E+00,5.798102E+03,0.000000E+00,2.991704E-01,0.000000E+00
00:30:00,2.396803E+03,0.000000E+00,1.236801E-01,0.000000E+00,3.268761E+03,0.000000E+00,1.686746E-01,0.000000E+00,3.001517E+03,0.000000E+00,1.548850E-01,0.000000E+00,2.748017E+03,0.000000E+00,1.418040E-01,0.000000E+00,6.018965E+03,0.000000E+00,3.105566E-01,0.000000E+00
00:45:00,2.473523E+03,0.000000E+00,1.276367E-01,0.000000E+00,3.366116E+03,0.000000E+00,1.736952E-01,0.000000E+00,3.076844E+03,0.000000E+00,1.587692E-01,0.000000E+00,2.824188E+03,0.000000E+00,1.457321E-01,0.000000E+00,6.233035E+03,0.000000E+00,3.215921E-01,0.000000E+00
01:00:00,2.549161E+03,0.000000E+00,1.315374E-01,0.000000E+00,3.461953E+03,0.000000E+00,1.786375E-01,0.000000E+00,3.151077E+03,0.000000E+00,1.625969E-01,0.000000E+00,2.899305E+03,0.000000E+00,1.496057E-01,0.000000E+00,6.440292E+03,0.000000E+00,3.322758E-01,0.000000E+00
01:15:00,2.572973E+03,0.000000E+00,1.327658E-01,0.000000E+00,3.490082E+03,0.000000E+00,1.800888E-01,0.000000E+00,3.170991E+03,0.000000E+00,1.636241E-01,0.000000E+00,2.921187E+03,0.000000E+00,1.507345E-01,0.000000E+00,6.483246E+03,0.000000E+00,3.344903E-01,0.000000E+00
01:30:00,2.596742E+03,0.000000E+00,1.339918E-01,0.000000E+00,3.518015E+03,0.000000E+00,1.815295E-01,0.000000E+00,3.190906E+03,0.000000E+00,1.646510E-01,0.000000E+00,2.943095E+03,0.000000E+00,1.518644E-01,0.000000E+00,6.526313E+03,0.000000E+00,3.367095E-01,0.000000E+00
01:45:00,2.620456E+03,0.000000E+00,1.352148E-01,0.000000E+00,3.545765E+03,0.000000E+00,1.829607E-01,0.000000E+00,3.210815E+03,0.000000E+00,1.656776E-01,0.000000E+00,2.965026E+03,0.000000E+00,1.529955E-01,0.000000E+00,6.569516E+03,0.000000E+00,3.389360E-01,0.000000E+00
02:00:00,2.644091E+03,0.000000E+00,1.364339E-01,0.000000E+00,3.573333E+03,0.000000E+00,1.843826E-01,0.000000E+00,3.230735E+03,0.000000E+00,1.667048E-01,0.000000E+00,2.986970E+03,0.000000E+00,1.541273E-01,0.000000E+00,6.612844E+03,0.000000E+00,3.411695E-01,0.000000E+00
02:15:00,2.667746E+03,0.000000E+00,1.376540E-01,0.000000E+00,3.601001E+03,0.000000E+00,1.858100E-01,0.000000E+00,3.250828E+03,0.000000E+00,1.677410E-01,0.000000E+00,3.009067E+03,0.000000E+00,1.552671E-01,0.000000E+00,6.656271E+03,0.000000E+00,3.434086E-01,0.000000E+00
02:30:00,2.691335E+03,0.000000E+00,1.388709E-01,0.000000E+00,3.628788E+03,0.000000E+00,1.872435E-01,0.000000E+00,3.271101E+03,0.000000E+00,1.687868E-01,0.000000E+00,3.031313E+03,0.000000E+00,1.564147E-01,0.000000E+00,6.699790E+03,0.000000E+00,3.456530E-01,0.000000E+00
