Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.463615E+02,0.000000E+00,4.884583E-02,0.000000E+00,1.162494E+03,0.000000E+00,5.998590E-02,0.000000E+00,9.672911E+02,0.000000E+00,4.991495E-02,0.000000E+00,6.591635E+02,0.000000E+00,3.401710E-02,0.000000E+00,4.400279E+03,0.000000E+00,2.270507E-01,0.000000E+00
00:30:00,1.028846E+03,0.000000E+00,5.310573E-02,0.000000E+00,1.266329E+03,0.000000E+00,6.534136E-02,0.000000E+00,1.054811E+03,0.000000E+00,5.442893E-02,0.000000E+00,7.624757E+02,0.000000E+00,3.934743E-02,0.000000E+00,4.634987E+03,0.000000E+00,2.391529E-01,0.000000E+00
00:45:00,1.081703E+03,0.000000E+00,5.583639E-02,0.000000E+00,1.368179E+03,0.000000E+00,7.059457E-02,0.000000E+00,1.138915E+03,0.000000E+00,5.876642E-02,0.000000E+00,8.629005E+02,0.000000E+00,4.452865E-02,0.000000E+00,4.862398E+03,0.000000E+00,2.508782E-01,0.000000E+00
01:00:00,1.131141E+03,0.000000E+00,5.839045E-02,0.000000E+00,1.468364E+03,0.000000E+00,7.576214E-02,0.000000E+00,1.218310E+03,0.000000E+00,6.286059E-02,0.000000E+00,9.602835E+02,0.000000E+00,4.955276E-02,0.000000E+00,5.082422E+03,0.000000E+00,2.622218E-01,0.000000E+00
01:15:00,1.124438E+03,0.000000E+00,5.804440E-02,0.000000E+00,1.506157E+03,0.000000E+00,7.771259E-02,0.000000E+00,1.243506E+03,0.000000E+00,6.415849E-02,0.000000E+00,9.966948E+02,0.000000E+00,5.143119E-02,0.000000E+00,5.134370E+03,0.000000E+00,2.648999E-01,0.000000E+00
01:30:00,1.114934E+03,0.000000E+00,5.755362E-02,0.000000E+00,1.545808E+03,0.000000E+00,7.975853E-02,0.000000E+00,1.270465E+03,0.000000E+00,6.554844E-02,0.000000E+00,1.031573E+03,0.000000E+00,5.323037E-02,0.000000E+00,5.185760E+03,0.000000E+00,2.675481E-01,0.000000E+00
01:45:00,1.133391E+03,0.000000E+00,5.850608E-02,0.000000E+00,1.587443E+03,0.000000E+00,8.190696E-02,0.000000E+00,1.300052E+03,0.000000E+00,6.707475E-02,0.000000E+00,1.065252E+03,0.000000E+00,5.496751E-02,0.000000E+00,5.237709E+03,0.000000E+00,2.702253E-01,0.000000E+00
02:00:00,1.153488E+03,0.000000E+00,5.954332E-02,0.000000E+00,1.631590E+03,0.000000E+00,8.418506E-02,0.000000E+00,1.334191E+03,0.000000E+00,6.883658E-02,0.000000E+00,1.099467E+03,0.000000E+00,5.673224E-02,0.000000E+00,5.290382E+03,0.000000E+00,2.729403E-01,0.000000E+00
02:15:00,1.174702E+03,0.000000E+00,6.063815E-02,0.000000E+00,1.679101E+03,0.000000E+00,8.663687E-02,0.000000E+00,1.370984E+03,0.000000E+00,7.073684E-02,0.000000E+00,1.134738E+03,0.000000E+00,5.855156E-02,0.000000E+00,5.344047E+03,0.000000E+00,2.757070E-01,0.000000E+00
02:30:00,1.232790E+03,0.000000E+00,6.363639E-02,0.000000E+00,1.727631E+03,0.000000E+00,8.914145E-02,0.000000E+00,1.409195E+03,0.000000E+00,7.270942E-02,0.000000E+00,1.171587E+03,0.000000E+00,6.045236E-02,0.000000E+00,5.399076E+03,0.000000E+00,2.785446E-01,0.000000E+00
