Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.609416E+02,0.000000E+00,4.959084E-02,0.000000E+00,1.564464E+03,0.000000E+00,8.073441E-02,0.000000E+00,1.828472E+03,0.000000E+00,9.435908E-02,0.000000E+00,1.446996E+03,0.000000E+00,7.467197E-02,0.000000E+00,4.631483E+03,0.000000E+00,2.389938E-01,0.000000E+00
00:30:00,1.121381E+03,0.000000E+00,5.786878E-02,0.000000E+00,1.724994E+03,0.000000E+00,8.901704E-02,0.000000E+00,1.990135E+03,0.000000E+00,1.027001E-01,0.000000E+00,1.605271E+03,0.000000E+00,8.283837E-02,0.000000E+00,5.025809E+03,0.000000E+00,2.593314E-01,0.000000E+00
00:45:00,1.278565E+03,0.000000E+00,6.597851E-02,0.000000E+00,1.886218E+03,0.000000E+00,9.733551E-02,0.000000E+00,2.151992E+03,0.000000E+00,1.110510E-01,0.000000E+00,1.764799E+03,0.000000E+00,9.106945E-02,0.000000E+00,5.414863E+03,0.000000E+00,2.793962E-01,0.000000E+00
01:00:00,1.432606E+03,0.000000E+00,7.392576E-02,0.000000E+00,2.047899E+03,0.000000E+00,1.056775E-01,0.000000E+00,2.313846E+03,0.000000E+00,1.194018E-01,0.000000E+00,1.925389E+03,0.000000E+00,9.935526E-02,0.000000E+00,5.797412E+03,0.000000E+00,2.991240E-01,0.000000E+00
01:15:00,1.501294E+03,0.000000E+00,7.746966E-02,0.000000E+00,2.121721E+03,0.000000E+00,1.094870E-01,0.000000E+00,2.386609E+03,0.000000E+00,1.231566E-01,0.000000E+00,1.999834E+03,0.000000E+00,1.031970E-01,0.000000E+00,5.940067E+03,0.000000E+00,3.064792E-01,0.000000E+00
01:30:00,1.571472E+03,0.000000E+00,8.109069E-02,0.000000E+00,2.195894E+03,0.000000E+00,1.133145E-01,0.000000E+00,2.459585E+03,0.000000E+00,1.269222E-01,0.000000E+00,2.074771E+03,0.000000E+00,1.070639E-01,0.000000E+00,6.081480E+03,0.000000E+00,3.137667E-01,0.000000E+00
01:45:00,1.644495E+03,0.000000E+00,8.485875E-02,0.000000E+00,2.270315E+03,0.000000E+00,1.171547E-01,0.000000E+00,2.532690E+03,0.000000E+00,1.306944E-01,0.000000E+00,2.150071E+03,0.000000E+00,1.109494E-01,0.000000E+00,6.224972E+03,0.000000E+00,3.211629E-01,0.000000E+00
02:00:00,1.720401E+03,0.000000E+00,8.877589E-02,0.000000E+00,2.344876E+03,0.000000E+00,1.210020E-01,0.000000E+00,2.605834E+03,0.000000E+00,1.344687E-01,0.000000E+00,2.225609E+03,0.000000E+00,1.148472E-01,0.000000E+00,6.371987E+03,0.000000E+00,3.287444E-01,0.000000E+00
02:15:00,1.797586E+03,0.000000E+00,9.275909E-02,0.000000E+00,2.419736E+03,0.000000E+00,1.248648E-01,0.000000E+00,2.679195E+03,0.000000E+00,1.382540E-01,0.000000E+00,2.301526E+03,0.000000E+00,1.187645E-01,0.000000E+00,6.525070E+03,0.000000E+00,3.366426E-01,0.000000E+00
02:30:00,1.875798E+03,0.000000E+00,9.679514E-02,0.000000E+00,2.494814E+03,0.000000E+00,1.287388E-01,0.000000E+00,2.752703E+03,0.000000E+00,1.420470E-01,0.000000E+00,2.377729E+03,0.000000E+00,1.226967E-01,0.000000E+00,6.682940E+03,0.000000E+00,3.447927E-01,0.000000E+00
