Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.658199E+03,0.000000E+00,1.371778E-01,0.000000E+00,3.208058E+03,0.000000E+00,1.655537E-01,0.000000E+00,3.477792E+03,0.000000E+00,1.794736E-01,0.000000E+00,3.132842E+03,0.000000E+00,1.616721E-01,0.000000E+00,8.808212E+03,0.000000E+00,4.545234E-01,0.000000E+00
00:30:00,2.805503E+03,0.000000E+00,1.447771E-01,0.000000E+00,3.349368E+03,0.000000E+00,1.728435E-01,0.000000E+00,3.615926E+03,0.000000E+00,1.865993E-01,0.000000E+00,3.274514E+03,0.000000E+00,1.689806E-01,0.000000E+00,9.172798E+03,0.000000E+00,4.733263E-01,0.000000E+00
00:45:00,2.951962E+03,0.000000E+00,1.523329E-01,0.000000E+00,3.489926E+03,0.000000E+00,1.800944E-01,0.000000E+00,3.753336E+03,0.000000E+00,1.936876E-01,0.000000E+00,3.415454E+03,0.000000E+00,1.762513E-01,0.000000E+00,9.533374E+03,0.000000E+00,4.919222E-01,0.000000E+00
01:00:00,3.097487E+03,0.000000E+00,1.598404E-01,0.000000E+00,3.629655E+03,0.000000E+00,1.873025E-01,0.000000E+00,3.889942E+03,0.000000E+00,2.007344E-01,0.000000E+00,3.555582E+03,0.000000E+00,1.834801E-01,0.000000E+00,9.889831E+03,0.000000E+00,5.103053E-01,0.000000E+00
01:15:00,3.157158E+03,0.000000E+00,1.629195E-01,0.000000E+00,3.683946E+03,0.000000E+00,1.901040E-01,0.000000E+00,3.941611E+03,0.000000E+00,2.034006E-01,0.000000E+00,3.610749E+03,0.000000E+00,1.863268E-01,0.000000E+00,1.001137E+04,0.000000E+00,5.165758E-01,0.000000E+00
01:30:00,3.216613E+03,0.000000E+00,1.659873E-01,0.000000E+00,3.738138E+03,0.000000E+00,1.929001E-01,0.000000E+00,3.993214E+03,0.000000E+00,2.060630E-01,0.000000E+00,3.665837E+03,0.000000E+00,1.891692E-01,0.000000E+00,1.013348E+04,0.000000E+00,5.228743E-01,0.000000E+00
01:45:00,3.275809E+03,0.000000E+00,1.690415E-01,0.000000E+00,3.792201E+03,0.000000E+00,1.956894E-01,0.000000E+00,4.044718E+03,0.000000E+00,2.087202E-01,0.000000E+00,3.720809E+03,0.000000E+00,1.920054E-01,0.000000E+00,1.025607E+04,0.000000E+00,5.291970E-01,0.000000E+00
02:00:00,3.334693E+03,0.000000E+00,1.720796E-01,0.000000E+00,3.846094E+03,0.000000E+00,1.984700E-01,0.000000E+00,4.096082E+03,0.000000E+00,2.113702E-01,0.000000E+00,3.775622E+03,0.000000E+00,1.948334E-01,0.000000E+00,1.037901E+04,0.000000E+00,5.355383E-01,0.000000E+00
02:15:00,3.393472E+03,0.000000E+00,1.751123E-01,0.000000E+00,3.900045E+03,0.000000E+00,2.012536E-01,0.000000E+00,4.147532E+03,0.000000E+00,2.140247E-01,0.000000E+00,3.830499E+03,0.000000E+00,1.976648E-01,0.000000E+00,1.050218E+04,0.000000E+00,5.418919E-01,0.000000E+00
02:30:00,3.452101E+03,0.000000E+00,1.781374E-01,0.000000E+00,3.954031E+03,0.000000E+00,2.040391E-01,0.000000E+00,4.199040E+03,0.000000E+00,2.166823E-01,0.000000E+00,3.885413E+03,0.000000E+00,2.004982E-01,0.000000E+00,1.062547E+04,0.000000E+00,5.482523E-01,0.000000E+00
02:45:00,3.510524E+03,0.000000E+00,1.811519E-01,0.000000E+00,4.008023E+03,0.000000E+00,2.068250E-01,0.000000E+00,4.250577E+03,0.000000E+00,2.193415E-01,0.000000E+00,3.940333E+03,0.000000E+00,2.033321E-01,0.000000E+00,1.074879E+04,0.000000E+00,5.546144E-01,0.000000E+00
