Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.854603E+02,0.000000E+00,4.569413E-02,0.000000E+00,1.320186E+03,0.000000E+00,6.812546E-02,0.000000E+00,1.496867E+03,0.000000E+00,7.724345E-02,0.000000E+00,1.235869E+03,0.000000E+00,6.377351E-02,0.000000E+00,4.882890E+03,0.000000E+00,2.518863E-01,0.000000E+00
00:30:00,9.979636E+02,0.000000E+00,5.149815E-02,0.000000E+00,1.429434E+03,0.000000E+00,7.376155E-02,0.000000E+00,1.604820E+03,0.000000E+00,8.281251E-02,0.000000E+00,1.343540E+03,0.000000E+00,6.932842E-02,0.000000E+00,5.119059E+03,0.000000E+00,2.640351E-01,0.000000E+00
00:45:00,1.108952E+03,0.000000E+00,5.722388E-02,0.000000E+00,1.538472E+03,0.000000E+00,7.938679E-02,0.000000E+00,1.712277E+03,0.000000E+00,8.835599E-02,0.000000E+00,1.451407E+03,0.000000E+00,7.489336E-02,0.000000E+00,5.349189E+03,0.000000E+00,2.758637E-01,0.000000E+00
01:00:00,1.218203E+03,0.000000E+00,6.285985E-02,0.000000E+00,1.647164E+03,0.000000E+00,8.499414E-02,0.000000E+00,1.819137E+03,0.000000E+00,9.386864E-02,0.000000E+00,1.559217E+03,0.000000E+00,8.045532E-02,0.000000E+00,5.573809E+03,0.000000E+00,2.874148E-01,0.000000E+00
01:15:00,1.263508E+03,0.000000E+00,6.519708E-02,0.000000E+00,1.692249E+03,0.000000E+00,8.732056E-02,0.000000E+00,1.862719E+03,0.000000E+00,9.611743E-02,0.000000E+00,1.604703E+03,0.000000E+00,8.280248E-02,0.000000E+00,5.630988E+03,0.000000E+00,2.903622E-01,0.000000E+00
01:30:00,1.307781E+03,0.000000E+00,6.748072E-02,0.000000E+00,1.737616E+03,0.000000E+00,8.966131E-02,0.000000E+00,1.906499E+03,0.000000E+00,9.837627E-02,0.000000E+00,1.650565E+03,0.000000E+00,8.516887E-02,0.000000E+00,5.690136E+03,0.000000E+00,2.934234E-01,0.000000E+00
01:45:00,1.350061E+03,0.000000E+00,6.966123E-02,0.000000E+00,1.783167E+03,0.000000E+00,9.201148E-02,0.000000E+00,1.950392E+03,0.000000E+00,1.006408E-01,0.000000E+00,1.696694E+03,0.000000E+00,8.754889E-02,0.000000E+00,5.749698E+03,0.000000E+00,2.965188E-01,0.000000E+00
02:00:00,1.392427E+03,0.000000E+00,7.184567E-02,0.000000E+00,1.828758E+03,0.000000E+00,9.436372E-02,0.000000E+00,1.994265E+03,0.000000E+00,1.029043E-01,0.000000E+00,1.742931E+03,0.000000E+00,8.993452E-02,0.000000E+00,5.809043E+03,0.000000E+00,2.995998E-01,0.000000E+00
02:15:00,1.435399E+03,0.000000E+00,7.406210E-02,0.000000E+00,1.874525E+03,0.000000E+00,9.672508E-02,0.000000E+00,2.038260E+03,0.000000E+00,1.051742E-01,0.000000E+00,1.789402E+03,0.000000E+00,9.233223E-02,0.000000E+00,5.868345E+03,0.000000E+00,3.026713E-01,0.000000E+00
02:30:00,1.479619E+03,0.000000E+00,7.634346E-02,0.000000E+00,1.920380E+03,0.000000E+00,9.909105E-02,0.000000E+00,2.082299E+03,0.000000E+00,1.074465E-01,0.000000E+00,1.836009E+03,0.000000E+00,9.473708E-02,0.000000E+00,5.927754E+03,0.000000E+00,3.057442E-01,0.000000E+00
02:45:00,1.526296E+03,0.000000E+00,7.875213E-02,0.000000E+00,1.966314E+03,0.000000E+00,1.014611E-01,0.000000E+00,2.126380E+03,0.000000E+00,1.097209E-01,0.000000E+00,1.882738E+03,0.000000E+00,9.714818E-02,0.000000E+00,5.987318E+03,0.000000E+00,3.088228E-01,0.000000E+00
03:00:00,1.573641E+03,0.000000E+00,8.119607E-02,0.000000E+00,2.012384E+03,0.000000E+00,1.038383E-01,0.000000E+00,2.170563E+03,0.000000E+00,1.120006E-01,0.000000E+00,1.929642E+03,0.000000E+00,9.956834E-02,0.000000E+00,6.047106E+03,0.000000E+00,3.119116E-01,0.000000E+00
03:15:00,1.621567E+03,0.000000E+00,8.366950E-02,0.000000E+00,2.058456E+03,0.000000E+00,1.062155E-01,0.000000E+00,2.214718E+03,0.000000E+00,1.142789E-01,0.000000E+00,1.976580E+03,0.000000E+00,1.019903E-01,0.000000E+00,6.107090E+03,0.000000E+00,3.150096E-01,0.000000E+00
03:30:00,1.669905E+03,0.000000E+00,8.616402E-02,0.000000E+00,2.104482E+03,0.000000E+00,1.085903E-01,0.000000E+00,2.258806E+03,0.000000E+00,1.165538E-01,0.000000E+00,2.023500E+03,0.000000E+00,1.044113E-01,0.000000E+00,6.167242E+03,0.000000E+00,3.181158E-01,0.000000E+00
03:45:00,1.718538E+03,0.000000E+00,8.867363E-02,0.000000E+00,2.150439E+03,0.000000E+00,1.109616E-01,0.000000E+00,2.302808E+03,0.000000E+00,1.188241E-01,0.000000E+00,2.070374E+03,0.000000E+00,1.068299E-01,0.000000E+00,6.227539E+03,0.000000E+00,3.212284E-01,0.000000E+00
04:00:00,1.767376E+03,0.000000E+00,9.119366E-02,0.000000E+00,2.196309E+03,0.000000E+00,1.133282E-01,0.000000E+00,2.346709E+03,0.000000E+00,1.210891E-01,0.000000E+00,2.117182E+03,0.000000E+00,1.092449E-01,0.000000E+00,6.287967E+03,0.000000E+00,3.243468E-01,0.000000E+00
04:15:00,1.816350E+03,0.000000E+00,9.372056E-02,0.000000E+00,2.242081E+03,0.000000E+00,1.156897E-01,0.000000E+00,2.390501E+03,0.000000E+00,1.233484E-01,0.000000E+00,2.163907E+03,0.000000E+00,1.116556E-01,0.000000E+00,6.348539E+03,0.000000E+00,3.274716E-01,0.000000E+00
04:30:00,1.865401E+03,0.000000E+00,9.625127E-02,0.000000E+00,2.287742E+03,0.000000E+00,1.180453E-01,0.000000E+00,2.434174E+03,0.000000E+00,1.256014E-01,0.000000E+00,2.210533E+03,0.000000E+00,1.140611E-01,0.000000E+00,6.409245E+03,0.000000E+00,3.306024E-01,0.000000E+00
04:45:00,1.914479E+03,0.000000E+00,9.878335E-02,0.000000E+00,2.333280E+03,0.000000E+00,1.203946E-01,0.000000E+00,2.477719E+03,0.000000E+00,1.278477E-01,0.000000E+00,2.257047E+03,0.000000E+00,1.164607E-01,0.000000E+00,6.470093E+03,0.000000E+00,3.337404E-01,0.000000E+00
05:00:00,1.963543E+03,0.000000E+00,1.013146E-01,0.000000E+00,2.378686E+03,0.000000E+00,1.227370E-01,0.000000E+00,2.521128E+03,0.000000E+00,1.300870E-01,0.000000E+00,2.303435E+03,0.000000E+00,1.188538E-01,0.000000E+00,6.531073E+03,0.000000E+00,3.368852E-01,0.000000E+00
05:15:00,2.012478E+03,0.000000E+00,1.038393E-01,0.000000E+00,2.423870E+03,0.000000E+00,1.250679E-01,0.000000E+00,2.564314E+03,0.000000E+00,1.323149E-01,0.000000E+00,2.349608E+03,0.000000E+00,1.212358E-01,0.000000E+00,6.591777E+03,0.000000E+00,3.400160E-01,0.000000E+00
05:30:00,2.061252E+03,0.000000E+00,1.063556E-01,0.000000E+00,2.468824E+03,0.000000E+00,1.273870E-01,0.000000E+00,2.607270E+03,0.000000E+00,1.345308E-01,0.000000E+00,2.395552E+03,0.000000E+00,1.236060E-01,0.000000E+00,6.652189E+03,0.000000E+00,3.431318E-01,0.000000E+00
05:45:00,2.109834E+03,0.000000E+00,1.088620E-01,0.000000E+00,2.513536E+03,0.000000E+00,1.296937E-01,0.000000E+00,2.649986E+03,0.000000E+00,1.367344E-01,0.000000E+00,2.441257E+03,0.000000E+00,1.259639E-01,0.000000E+00,6.712292E+03,0.000000E+00,3.462317E-01,0.000000E+00
06:00:00,2.158198E+03,0.000000E+00,1.113571E-01,0.000000E+00,2.557999E+03,0.000000E+00,1.319874E-01,0.000000E+00,2.692456E+03,0.000000E+00,1.389253E-01,0.000000E+00,2.486712E+03,0.000000E+00,1.283089E-01,0.000000E+00,6.772073E+03,0.000000E+00,3.493149E-01,0.000000E+00
06:15:00,1.933656E+03,0.000000E+00,9.977112E-02,0.000000E+00,2.329507E+03,0.000000E+00,1.201974E-01,0.000000E+00,2.461988E+03,0.000000E+00,1.270333E-01,0.000000E+00,2.259215E+03,0.000000E+00,1.165702E-01,0.000000E+00,5.235869E+03,0.000000E+00,2.700747E-01,0.000000E+00
06:30:00,1.705859E+03,0.000000E+00,8.801940E-02,0.000000E+00,2.097712E+03,0.000000E+00,1.082392E-01,0.000000E+00,2.228235E+03,0.000000E+00,1.149741E-01,0.000000E+00,2.028418E+03,0.000000E+00,1.046636E-01,0.000000E+00,3.690968E+03,0.000000E+00,1.903901E-01,0.000000E+00
06:45:00,1.474642E+03,0.000000E+00,7.609211E-02,0.000000E+00,1.862480E+03,0.000000E+00,9.610527E-02,0.000000E+00,1.991071E+03,0.000000E+00,1.027406E-01,0.000000E+00,1.794183E+03,0.000000E+00,9.258103E-02,0.000000E+00,2.136184E+03,0.000000E+00,1.101962E-01,0.000000E+00
07:00:00,1.239924E+03,0.000000E+00,6.398501E-02,0.000000E+00,1.623731E+03,0.000000E+00,8.379100E-02,0.000000E+00,1.750415E+03,0.000000E+00,9.032835E-02,0.000000E+00,1.556433E+03,0.000000E+00,8.031812E-02,0.000000E+00,5.716387E+02,0.000000E+00,2.949899E-02,0.000000E+00
07:15:00,1.274281E+03,0.000000E+00,6.576195E-02,0.000000E+00,1.654080E+03,0.000000E+00,8.536246E-02,0.000000E+00,1.778874E+03,0.000000E+00,9.180274E-02,0.000000E+00,1.587776E+03,0.000000E+00,8.194063E-02,0.000000E+00,5.933549E+02,0.000000E+00,3.062394E-02,0.000000E+00
07:30:00,1.304277E+03,0.000000E+00,6.731219E-02,0.000000E+00,1.678570E+03,0.000000E+00,8.662992E-02,0.000000E+00,1.804355E+03,0.000000E+00,9.312188E-02,0.000000E+00,1.616059E+03,0.000000E+00,8.340361E-02,0.000000E+00,6.138435E+02,0.000000E+00,3.168170E-02,0.000000E+00
