Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.860138E+03,0.000000E+00,9.598961E-02,0.000000E+00,2.255740E+03,0.000000E+00,1.164044E-01,0.000000E+00,2.423290E+03,0.000000E+00,1.250507E-01,0.000000E+00,2.203234E+03,0.000000E+00,1.136948E-01,0.000000E+00,5.704273E+03,0.000000E+00,2.943299E-01,0.000000E+00
00:30:00,1.963391E+03,0.000000E+00,1.013158E-01,0.000000E+00,2.354473E+03,0.000000E+00,1.214971E-01,0.000000E+00,2.518880E+03,0.000000E+00,1.299810E-01,0.000000E+00,2.302253E+03,0.000000E+00,1.188023E-01,0.000000E+00,5.942477E+03,0.000000E+00,3.066112E-01,0.000000E+00
00:45:00,2.065658E+03,0.000000E+00,1.065911E-01,0.000000E+00,2.452237E+03,0.000000E+00,1.265398E-01,0.000000E+00,2.613515E+03,0.000000E+00,1.348621E-01,0.000000E+00,2.400317E+03,0.000000E+00,1.238605E-01,0.000000E+00,6.174127E+03,0.000000E+00,3.185542E-01,0.000000E+00
01:00:00,2.166882E+03,0.000000E+00,1.118126E-01,0.000000E+00,2.548983E+03,0.000000E+00,1.315299E-01,0.000000E+00,2.707147E+03,0.000000E+00,1.396914E-01,0.000000E+00,2.497372E+03,0.000000E+00,1.288667E-01,0.000000E+00,6.399195E+03,0.000000E+00,3.301572E-01,0.000000E+00
01:15:00,2.205580E+03,0.000000E+00,1.138093E-01,0.000000E+00,2.583626E+03,0.000000E+00,1.333173E-01,0.000000E+00,2.739509E+03,0.000000E+00,1.413611E-01,0.000000E+00,2.532593E+03,0.000000E+00,1.306839E-01,0.000000E+00,6.452224E+03,0.000000E+00,3.328917E-01,0.000000E+00
01:30:00,2.244172E+03,0.000000E+00,1.158003E-01,0.000000E+00,2.618208E+03,0.000000E+00,1.351014E-01,0.000000E+00,2.771836E+03,0.000000E+00,1.430287E-01,0.000000E+00,2.567767E+03,0.000000E+00,1.324985E-01,0.000000E+00,6.505394E+03,0.000000E+00,3.356322E-01,0.000000E+00
01:45:00,2.282641E+03,0.000000E+00,1.177849E-01,0.000000E+00,2.652718E+03,0.000000E+00,1.368816E-01,0.000000E+00,2.804117E+03,0.000000E+00,1.446939E-01,0.000000E+00,2.602878E+03,0.000000E+00,1.343098E-01,0.000000E+00,6.558719E+03,0.000000E+00,3.383811E-01,0.000000E+00
02:00:00,2.320959E+03,0.000000E+00,1.197617E-01,0.000000E+00,2.687137E+03,0.000000E+00,1.386572E-01,0.000000E+00,2.836331E+03,0.000000E+00,1.463557E-01,0.000000E+00,2.637906E+03,0.000000E+00,1.361167E-01,0.000000E+00,6.612176E+03,0.000000E+00,3.411373E-01,0.000000E+00
02:15:00,2.359266E+03,0.000000E+00,1.217380E-01,0.000000E+00,2.721611E+03,0.000000E+00,1.404357E-01,0.000000E+00,2.868624E+03,0.000000E+00,1.480216E-01,0.000000E+00,2.672993E+03,0.000000E+00,1.379269E-01,0.000000E+00,6.665730E+03,0.000000E+00,3.438990E-01,0.000000E+00
02:30:00,2.397544E+03,0.000000E+00,1.237129E-01,0.000000E+00,2.756128E+03,0.000000E+00,1.422166E-01,0.000000E+00,2.900984E+03,0.000000E+00,1.496911E-01,0.000000E+00,2.708127E+03,0.000000E+00,1.397396E-01,0.000000E+00,6.719364E+03,0.000000E+00,3.466654E-01,0.000000E+00
02:45:00,2.435774E+03,0.000000E+00,1.256853E-01,0.000000E+00,2.790676E+03,0.000000E+00,1.439991E-01,0.000000E+00,2.933394E+03,0.000000E+00,1.513633E-01,0.000000E+00,2.743292E+03,0.000000E+00,1.415540E-01,0.000000E+00,6.773054E+03,0.000000E+00,3.494347E-01,0.000000E+00
03:00:00,2.473938E+03,0.000000E+00,1.276545E-01,0.000000E+00,2.825243E+03,0.000000E+00,1.457826E-01,0.000000E+00,2.965846E+03,0.000000E+00,1.530376E-01,0.000000E+00,2.778476E+03,0.000000E+00,1.433693E-01,0.000000E+00,6.826791E+03,0.000000E+00,3.522065E-01,0.000000E+00
03:15:00,2.511938E+03,0.000000E+00,1.296150E-01,0.000000E+00,2.859734E+03,0.000000E+00,1.475622E-01,0.000000E+00,2.998242E+03,0.000000E+00,1.547091E-01,0.000000E+00,2.813584E+03,0.000000E+00,1.451807E-01,0.000000E+00,6.880554E+03,0.000000E+00,3.549796E-01,0.000000E+00
03:30:00,2.549756E+03,0.000000E+00,1.315663E-01,0.000000E+00,2.894142E+03,0.000000E+00,1.493375E-01,0.000000E+00,3.030575E+03,0.000000E+00,1.563774E-01,0.000000E+00,2.848605E+03,0.000000E+00,1.469877E-01,0.000000E+00,6.934339E+03,0.000000E+00,3.577538E-01,0.000000E+00
03:45:00,2.587380E+03,0.000000E+00,1.335074E-01,0.000000E+00,2.928462E+03,0.000000E+00,1.511082E-01,0.000000E+00,3.062840E+03,0.000000E+00,1.580420E-01,0.000000E+00,2.883535E+03,0.000000E+00,1.487899E-01,0.000000E+00,6.988136E+03,0.000000E+00,3.605282E-01,0.000000E+00
04:00:00,2.624793E+03,0.000000E+00,1.354376E-01,0.000000E+00,2.962692E+03,0.000000E+00,1.528741E-01,0.000000E+00,3.095034E+03,0.000000E+00,1.597029E-01,0.000000E+00,2.918373E+03,0.000000E+00,1.505872E-01,0.000000E+00,7.041947E+03,0.000000E+00,3.633026E-01,0.000000E+00
04:15:00,2.661979E+03,0.000000E+00,1.373558E-01,0.000000E+00,2.996838E+03,0.000000E+00,1.546355E-01,0.000000E+00,3.127162E+03,0.000000E+00,1.613601E-01,0.000000E+00,2.953120E+03,0.000000E+00,1.523796E-01,0.000000E+00,7.095794E+03,0.000000E+00,3.660784E-01,0.000000E+00
04:30:00,2.698885E+03,0.000000E+00,1.392594E-01,0.000000E+00,3.030898E+03,0.000000E+00,1.563924E-01,0.000000E+00,3.159222E+03,0.000000E+00,1.630137E-01,0.000000E+00,2.987778E+03,0.000000E+00,1.541673E-01,0.000000E+00,7.149678E+03,0.000000E+00,3.688555E-01,0.000000E+00
04:45:00,2.735540E+03,0.000000E+00,1.411500E-01,0.000000E+00,3.064875E+03,0.000000E+00,1.581448E-01,0.000000E+00,3.191214E+03,0.000000E+00,1.646637E-01,0.000000E+00,3.022345E+03,0.000000E+00,1.559503E-01,0.000000E+00,7.203614E+03,0.000000E+00,3.716352E-01,0.000000E+00
05:00:00,2.772091E+03,0.000000E+00,1.430352E-01,0.000000E+00,3.098766E+03,0.000000E+00,1.598929E-01,0.000000E+00,3.223137E+03,0.000000E+00,1.663101E-01,0.000000E+00,3.056822E+03,0.000000E+00,1.577286E-01,0.000000E+00,7.257595E+03,0.000000E+00,3.744175E-01,0.000000E+00
05:15:00,2.808519E+03,0.000000E+00,1.449142E-01,0.000000E+00,3.132493E+03,0.000000E+00,1.616325E-01,0.000000E+00,3.254909E+03,0.000000E+00,1.679488E-01,0.000000E+00,3.091128E+03,0.000000E+00,1.594981E-01,0.000000E+00,7.311223E+03,0.000000E+00,3.771817E-01,0.000000E+00
05:30:00,2.844911E+03,0.000000E+00,1.467915E-01,0.000000E+00,3.166054E+03,0.000000E+00,1.633636E-01,0.000000E+00,3.286527E+03,0.000000E+00,1.695796E-01,0.000000E+00,3.125263E+03,0.000000E+00,1.612588E-01,0.000000E+00,7.364490E+03,0.000000E+00,3.799275E-01,0.000000E+00
05:45:00,2.881279E+03,0.000000E+00,1.486676E-01,0.000000E+00,3.199446E+03,0.000000E+00,1.650860E-01,0.000000E+00,3.317986E+03,0.000000E+00,1.712022E-01,0.000000E+00,3.159221E+03,0.000000E+00,1.630105E-01,0.000000E+00,7.417385E+03,0.000000E+00,3.826542E-01,0.000000E+00
06:00:00,2.917516E+03,0.000000E+00,1.505370E-01,0.000000E+00,3.232666E+03,0.000000E+00,1.667996E-01,0.000000E+00,3.349279E+03,0.000000E+00,1.728162E-01,0.000000E+00,3.193003E+03,0.000000E+00,1.647530E-01,0.000000E+00,7.469904E+03,0.000000E+00,3.853614E-01,0.000000E+00
06:15:00,2.680904E+03,0.000000E+00,1.383281E-01,0.000000E+00,2.992994E+03,0.000000E+00,1.544325E-01,0.000000E+00,3.107704E+03,0.000000E+00,1.603509E-01,0.000000E+00,2.953885E+03,0.000000E+00,1.524145E-01,0.000000E+00,5.926390E+03,0.000000E+00,3.057327E-01,0.000000E+00
06:30:00,2.441084E+03,0.000000E+00,1.259560E-01,0.000000E+00,2.750071E+03,0.000000E+00,1.419000E-01,0.000000E+00,2.862898E+03,0.000000E+00,1.477212E-01,0.000000E+00,2.711512E+03,0.000000E+00,1.399104E-01,0.000000E+00,4.373876E+03,0.000000E+00,2.256467E-01,0.000000E+00
06:45:00,2.197937E+03,0.000000E+00,1.134144E-01,0.000000E+00,2.503795E+03,0.000000E+00,1.291974E-01,0.000000E+00,2.614764E+03,0.000000E+00,1.349230E-01,0.000000E+00,2.465780E+03,0.000000E+00,1.272358E-01,0.000000E+00,2.811433E+03,0.000000E+00,1.450497E-01,0.000000E+00
07:00:00,1.951370E+03,0.000000E+00,1.006980E-01,0.000000E+00,2.254071E+03,0.000000E+00,1.163189E-01,0.000000E+00,2.363230E+03,0.000000E+00,1.219516E-01,0.000000E+00,2.216594E+03,0.000000E+00,1.143849E-01,0.000000E+00,1.239175E+03,0.000000E+00,6.394736E-02,0.000000E+00
07:15:00,1.974006E+03,0.000000E+00,1.018728E-01,0.000000E+00,2.273536E+03,0.000000E+00,1.173312E-01,0.000000E+00,2.380926E+03,0.000000E+00,1.228730E-01,0.000000E+00,2.236592E+03,0.000000E+00,1.154246E-01,0.000000E+00,1.253125E+03,0.000000E+00,6.467492E-02,0.000000E+00
07:30:00,1.992171E+03,0.000000E+00,1.028153E-01,0.000000E+00,2.287097E+03,0.000000E+00,1.180372E-01,0.000000E+00,2.395831E+03,0.000000E+00,1.236490E-01,0.000000E+00,2.253584E+03,0.000000E+00,1.163075E-01,0.000000E+00,1.266102E+03,0.000000E+00,6.534613E-02,0.000000E+00
07:45:00,1.992407E+03,0.000000E+00,1.028307E-01,0.000000E+00,2.273034E+03,0.000000E+00,1.173152E-01,0.000000E+00,2.406319E+03,0.000000E+00,1.241945E-01,0.000000E+00,2.265882E+03,0.000000E+00,1.169460E-01,0.000000E+00,1.278687E+03,0.000000E+00,6.599657E-02,0.000000E+00
08:00:00,1.970010E+03,0.000000E+00,1.016769E-01,0.000000E+00,2.228731E+03,0.000000E+00,1.150309E-01,0.000000E+00,2.410697E+03,0.000000E+00,1.244229E-01,0.000000E+00,2.271754E+03,0.000000E+00,1.172514E-01,0.000000E+00,1.289777E+03,0.000000E+00,6.656953E-02,0.000000E+00
08:15:00,1.923295E+03,1.652469E+03,9.926710E-02,1.197314E-01,2.156196E+03,1.661890E+03,1.112885E-01,1.186200E-01,2.407791E+03,1.629897E+03,1.242743E-01,1.179838E-01,2.270288E+03,1.688489E+03,1.171771E-01,1.215178E-01,1.298689E+03,2.429473E+03,6.702993E-02,2.031977E-01
08:30:00,1.853420E+03,3.762570E+03,9.566146E-02,3.241570E-01,2.059350E+03,4.056353E+03,1.062906E-01,3.504197E-01,2.398947E+03,3.740807E+03,1.238186E-01,3.225598E-01,2.263274E+03,3.873638E+03,1.168159E-01,3.330196E-01,1.305482E+03,5.856786E+03,6.738082E-02,5.363755E-01
08:45:00,1.771158E+03,5.604579E+03,9.141609E-02,5.040437E-01,1.956867E+03,6.161861E+03,1.010015E-01,5.559419E-01,2.386612E+03,5.583434E+03,1.231824E-01,5.025366E-01,2.253458E+03,5.779498E+03,1.163097E-01,5.190612E-01,1.310715E+03,8.831826E+03,6.765111E-02,8.273335E-01
09:00:00,1.681599E+03,7.349376E+03,8.679389E-02,6.748038E-01,1.854499E+03,8.174383E+03,9.571814E-02,7.528498E-01,2.373114E+03,7.328210E+03,1.224860E-01,6.733052E-01,2.243169E+03,7.584291E+03,1.157790E-01,6.956600E-01,1.315569E+03,1.163401E+04,6.790180E-02,1.101774E+00
09:15:00,1.577020E+03,7.371811E+03,8.139634E-02,7.191243E-01,1.744490E+03,8.455221E+03,9.004026E-02,8.244875E-01,2.352142E+03,7.372606E+03,1.214037E-01,7.193173E-01,2.225438E+03,7.627762E+03,1.148639E-01,7.437694E-01,1.320575E+03,1.186656E+04,6.816026E-02,1.159378E+00
09:30:00,1.458039E+03,6.886265E+03,7.525532E-02,6.738666E-01,1.629788E+03,7.951758E+03,8.412010E-02,7.779483E-01,2.324722E+03,6.885129E+03,1.199885E-01,6.738005E-01,2.200728E+03,7.121909E+03,1.135886E-01,6.967937E-01,1.325245E+03,1.099189E+04,6.840133E-02,1.076306E+00
