Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.127321E+02,0.000000E+00,4.710238E-02,0.000000E+00,1.441029E+03,0.000000E+00,7.436306E-02,0.000000E+00,1.648054E+03,0.000000E+00,8.504688E-02,0.000000E+00,1.341139E+03,0.000000E+00,6.920753E-02,0.000000E+00,4.809372E+03,0.000000E+00,2.481466E-01,0.000000E+00
00:30:00,1.049624E+03,0.000000E+00,5.416514E-02,0.000000E+00,1.574196E+03,0.000000E+00,8.123355E-02,0.000000E+00,1.780490E+03,0.000000E+00,9.187949E-02,0.000000E+00,1.472364E+03,0.000000E+00,7.597800E-02,0.000000E+00,5.105467E+03,0.000000E+00,2.634085E-01,0.000000E+00
00:45:00,1.185063E+03,0.000000E+00,6.115287E-02,0.000000E+00,1.707520E+03,0.000000E+00,8.811214E-02,0.000000E+00,1.912703E+03,0.000000E+00,9.870056E-02,0.000000E+00,1.604265E+03,0.000000E+00,8.278330E-02,0.000000E+00,5.394760E+03,0.000000E+00,2.783175E-01,0.000000E+00
01:00:00,1.318735E+03,0.000000E+00,6.804925E-02,0.000000E+00,1.840811E+03,0.000000E+00,9.498895E-02,0.000000E+00,2.044554E+03,0.000000E+00,1.055029E-01,0.000000E+00,1.736525E+03,0.000000E+00,8.960708E-02,0.000000E+00,5.675465E+03,0.000000E+00,2.927799E-01,0.000000E+00
01:15:00,1.376845E+03,0.000000E+00,7.104739E-02,0.000000E+00,1.899194E+03,0.000000E+00,9.800165E-02,0.000000E+00,2.101317E+03,0.000000E+00,1.084320E-01,0.000000E+00,1.795353E+03,0.000000E+00,9.264276E-02,0.000000E+00,5.761451E+03,0.000000E+00,2.971991E-01,0.000000E+00
01:30:00,1.432898E+03,0.000000E+00,7.393910E-02,0.000000E+00,1.957815E+03,0.000000E+00,1.010264E-01,0.000000E+00,2.158221E+03,0.000000E+00,1.113681E-01,0.000000E+00,1.854538E+03,0.000000E+00,9.569670E-02,0.000000E+00,5.849400E+03,0.000000E+00,3.017245E-01,0.000000E+00
01:45:00,1.488391E+03,0.000000E+00,7.680145E-02,0.000000E+00,2.016602E+03,0.000000E+00,1.040597E-01,0.000000E+00,2.215205E+03,0.000000E+00,1.143083E-01,0.000000E+00,1.913992E+03,0.000000E+00,9.876444E-02,0.000000E+00,5.939847E+03,0.000000E+00,3.063860E-01,0.000000E+00
02:00:00,1.544288E+03,0.000000E+00,7.968494E-02,0.000000E+00,2.075483E+03,0.000000E+00,1.070978E-01,0.000000E+00,2.272207E+03,0.000000E+00,1.172494E-01,0.000000E+00,1.973627E+03,0.000000E+00,1.018415E-01,0.000000E+00,6.034456E+03,0.000000E+00,3.112689E-01,0.000000E+00
02:15:00,1.601460E+03,0.000000E+00,8.263460E-02,0.000000E+00,2.134593E+03,0.000000E+00,1.101477E-01,0.000000E+00,2.329372E+03,0.000000E+00,1.201989E-01,0.000000E+00,2.033567E+03,0.000000E+00,1.049343E-01,0.000000E+00,6.130750E+03,0.000000E+00,3.162499E-01,0.000000E+00
02:30:00,1.661133E+03,0.000000E+00,8.571373E-02,0.000000E+00,2.193792E+03,0.000000E+00,1.132023E-01,0.000000E+00,2.386574E+03,0.000000E+00,1.231504E-01,0.000000E+00,2.093658E+03,0.000000E+00,1.080349E-01,0.000000E+00,6.227799E+03,0.000000E+00,3.212672E-01,0.000000E+00
02:45:00,1.722126E+03,0.000000E+00,8.886157E-02,0.000000E+00,2.253058E+03,0.000000E+00,1.162604E-01,0.000000E+00,2.443799E+03,0.000000E+00,1.261031E-01,0.000000E+00,2.153869E+03,0.000000E+00,1.111418E-01,0.000000E+00,6.325628E+03,0.000000E+00,3.263212E-01,0.000000E+00
03:00:00,1.783859E+03,0.000000E+00,9.204740E-02,0.000000E+00,2.312375E+03,0.000000E+00,1.193211E-01,0.000000E+00,2.501037E+03,0.000000E+00,1.290565E-01,0.000000E+00,2.214176E+03,0.000000E+00,1.142536E-01,0.000000E+00,6.424213E+03,0.000000E+00,3.314121E-01,0.000000E+00
03:15:00,1.846063E+03,0.000000E+00,9.525739E-02,0.000000E+00,2.371600E+03,0.000000E+00,1.223771E-01,0.000000E+00,2.558153E+03,0.000000E+00,1.320037E-01,0.000000E+00,2.274432E+03,0.000000E+00,1.173628E-01,0.000000E+00,6.523452E+03,0.000000E+00,3.365357E-01,0.000000E+00
03:30:00,1.908672E+03,0.000000E+00,9.848817E-02,0.000000E+00,2.430785E+03,0.000000E+00,1.254310E-01,0.000000E+00,2.615201E+03,0.000000E+00,1.349473E-01,0.000000E+00,2.334684E+03,0.000000E+00,1.204718E-01,0.000000E+00,6.623400E+03,0.000000E+00,3.416950E-01,0.000000E+00
03:45:00,1.971539E+03,0.000000E+00,1.017322E-01,0.000000E+00,2.489875E+03,0.000000E+00,1.284800E-01,0.000000E+00,2.672128E+03,0.000000E+00,1.378846E-01,0.000000E+00,2.394870E+03,0.000000E+00,1.235773E-01,0.000000E+00,6.723931E+03,0.000000E+00,3.468836E-01,0.000000E+00
04:00:00,2.034536E+03,0.000000E+00,1.049828E-01,0.000000E+00,2.548818E+03,0.000000E+00,1.315213E-01,0.000000E+00,2.728891E+03,0.000000E+00,1.408134E-01,0.000000E+00,2.454935E+03,0.000000E+00,1.266765E-01,0.000000E+00,6.824935E+03,0.000000E+00,3.520956E-01,0.000000E+00
04:15:00,2.097587E+03,0.000000E+00,1.082361E-01,0.000000E+00,2.607598E+03,0.000000E+00,1.345541E-01,0.000000E+00,2.785476E+03,0.000000E+00,1.437329E-01,0.000000E+00,2.514855E+03,0.000000E+00,1.297681E-01,0.000000E+00,6.926370E+03,0.000000E+00,3.573290E-01,0.000000E+00
04:30:00,2.160624E+03,0.000000E+00,1.114885E-01,0.000000E+00,2.666194E+03,0.000000E+00,1.375772E-01,0.000000E+00,2.841867E+03,0.000000E+00,1.466422E-01,0.000000E+00,2.574607E+03,0.000000E+00,1.328510E-01,0.000000E+00,7.028180E+03,0.000000E+00,3.625810E-01,0.000000E+00
04:45:00,2.223591E+03,0.000000E+00,1.147373E-01,0.000000E+00,2.724591E+03,0.000000E+00,1.405900E-01,0.000000E+00,2.898049E+03,0.000000E+00,1.495407E-01,0.000000E+00,2.634172E+03,0.000000E+00,1.359241E-01,0.000000E+00,7.130329E+03,0.000000E+00,3.678501E-01,0.000000E+00
05:00:00,2.286441E+03,0.000000E+00,1.179800E-01,0.000000E+00,2.782773E+03,0.000000E+00,1.435917E-01,0.000000E+00,2.954011E+03,0.000000E+00,1.524277E-01,0.000000E+00,2.693531E+03,0.000000E+00,1.389866E-01,0.000000E+00,7.232772E+03,0.000000E+00,3.731344E-01,0.000000E+00
05:15:00,2.349052E+03,0.000000E+00,1.212103E-01,0.000000E+00,2.840646E+03,0.000000E+00,1.465775E-01,0.000000E+00,3.009660E+03,0.000000E+00,1.552987E-01,0.000000E+00,2.752588E+03,0.000000E+00,1.420334E-01,0.000000E+00,7.335066E+03,0.000000E+00,3.784111E-01,0.000000E+00
05:30:00,2.411385E+03,0.000000E+00,1.244263E-01,0.000000E+00,2.898198E+03,0.000000E+00,1.495466E-01,0.000000E+00,3.064984E+03,0.000000E+00,1.581528E-01,0.000000E+00,2.811327E+03,0.000000E+00,1.450639E-01,0.000000E+00,7.437166E+03,0.000000E+00,3.836778E-01,0.000000E+00
05:45:00,2.473407E+03,0.000000E+00,1.276262E-01,0.000000E+00,2.955414E+03,0.000000E+00,1.524985E-01,0.000000E+00,3.119972E+03,0.000000E+00,1.609897E-01,0.000000E+00,2.869733E+03,0.000000E+00,1.480771E-01,0.000000E+00,7.539028E+03,0.000000E+00,3.889322E-01,0.000000E+00
06:00:00,2.535086E+03,0.000000E+00,1.308084E-01,0.000000E+00,3.012284E+03,0.000000E+00,1.554325E-01,0.000000E+00,3.174613E+03,0.000000E+00,1.638087E-01,0.000000E+00,2.927793E+03,0.000000E+00,1.510726E-01,0.000000E+00,7.640611E+03,0.000000E+00,3.941721E-01,0.000000E+00
06:15:00,2.323348E+03,0.000000E+00,1.198826E-01,0.000000E+00,2.795721E+03,0.000000E+00,1.442576E-01,0.000000E+00,2.955842E+03,0.000000E+00,1.525198E-01,0.000000E+00,2.712422E+03,0.000000E+00,1.399592E-01,0.000000E+00,6.146250E+03,0.000000E+00,3.170791E-01,0.000000E+00
