Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.042563E+03,0.000000E+00,5.380860E-02,0.000000E+00,9.732085E+02,0.000000E+00,5.022204E-02,0.000000E+00,1.145857E+03,0.000000E+00,5.913161E-02,0.000000E+00,9.387724E+02,0.000000E+00,4.844505E-02,0.000000E+00,4.495426E+03,0.000000E+00,2.319651E-01,0.000000E+00
00:30:00,1.125318E+03,0.000000E+00,5.807984E-02,0.000000E+00,1.072142E+03,0.000000E+00,5.532600E-02,0.000000E+00,1.251580E+03,0.000000E+00,6.458630E-02,0.000000E+00,1.036109E+03,0.000000E+00,5.346622E-02,0.000000E+00,4.803135E+03,0.000000E+00,2.478333E-01,0.000000E+00
00:45:00,1.207356E+03,0.000000E+00,6.231407E-02,0.000000E+00,1.171881E+03,0.000000E+00,6.047163E-02,0.000000E+00,1.358150E+03,0.000000E+00,7.008468E-02,0.000000E+00,1.133819E+03,0.000000E+00,5.850685E-02,0.000000E+00,5.106415E+03,0.000000E+00,2.634723E-01,0.000000E+00
01:00:00,1.288617E+03,0.000000E+00,6.650821E-02,0.000000E+00,1.272485E+03,0.000000E+00,6.566194E-02,0.000000E+00,1.465353E+03,0.000000E+00,7.561565E-02,0.000000E+00,1.232052E+03,0.000000E+00,6.357460E-02,0.000000E+00,5.404780E+03,0.000000E+00,2.788569E-01,0.000000E+00
01:15:00,1.324659E+03,0.000000E+00,6.836826E-02,0.000000E+00,1.319112E+03,0.000000E+00,6.806824E-02,0.000000E+00,1.513712E+03,0.000000E+00,7.811116E-02,0.000000E+00,1.277181E+03,0.000000E+00,6.590359E-02,0.000000E+00,5.503576E+03,0.000000E+00,2.839510E-01,0.000000E+00
01:30:00,1.361509E+03,0.000000E+00,7.027002E-02,0.000000E+00,1.366710E+03,0.000000E+00,7.052445E-02,0.000000E+00,1.562680E+03,0.000000E+00,8.063792E-02,0.000000E+00,1.323527E+03,0.000000E+00,6.829539E-02,0.000000E+00,5.602740E+03,0.000000E+00,2.890627E-01,0.000000E+00
01:45:00,1.399135E+03,0.000000E+00,7.221183E-02,0.000000E+00,1.415198E+03,0.000000E+00,7.302647E-02,0.000000E+00,1.612168E+03,0.000000E+00,8.319145E-02,0.000000E+00,1.370909E+03,0.000000E+00,7.074049E-02,0.000000E+00,5.702126E+03,0.000000E+00,2.941853E-01,0.000000E+00
02:00:00,1.437507E+03,0.000000E+00,7.419211E-02,0.000000E+00,1.464455E+03,0.000000E+00,7.556816E-02,0.000000E+00,1.662092E+03,0.000000E+00,8.576743E-02,0.000000E+00,1.419228E+03,0.000000E+00,7.323385E-02,0.000000E+00,5.801506E+03,0.000000E+00,2.993073E-01,0.000000E+00
02:15:00,1.475554E+03,0.000000E+00,7.615560E-02,0.000000E+00,1.514409E+03,0.000000E+00,7.814583E-02,0.000000E+00,1.712469E+03,0.000000E+00,8.836682E-02,0.000000E+00,1.468446E+03,0.000000E+00,7.577358E-02,0.000000E+00,5.900579E+03,0.000000E+00,3.044133E-01,0.000000E+00
02:30:00,1.513244E+03,0.000000E+00,7.810072E-02,0.000000E+00,1.564958E+03,0.000000E+00,8.075420E-02,0.000000E+00,1.763230E+03,0.000000E+00,9.098604E-02,0.000000E+00,1.518385E+03,0.000000E+00,7.835056E-02,0.000000E+00,5.998835E+03,0.000000E+00,3.094767E-01,0.000000E+00
02:45:00,1.550555E+03,0.000000E+00,8.002616E-02,0.000000E+00,1.616012E+03,0.000000E+00,8.338857E-02,0.000000E+00,1.814311E+03,0.000000E+00,9.362179E-02,0.000000E+00,1.568938E+03,0.000000E+00,8.095914E-02,0.000000E+00,6.095449E+03,0.000000E+00,3.144541E-01,0.000000E+00
03:00:00,1.587464E+03,0.000000E+00,8.193091E-02,0.000000E+00,1.667488E+03,0.000000E+00,8.604478E-02,0.000000E+00,1.865656E+03,0.000000E+00,9.627117E-02,0.000000E+00,1.620008E+03,0.000000E+00,8.359440E-02,0.000000E+00,6.188619E+03,0.000000E+00,3.192510E-01,0.000000E+00
03:15:00,1.622666E+03,0.000000E+00,8.374752E-02,0.000000E+00,1.719267E+03,0.000000E+00,8.871659E-02,0.000000E+00,1.917164E+03,0.000000E+00,9.892897E-02,0.000000E+00,1.671462E+03,0.000000E+00,8.624950E-02,0.000000E+00,6.282912E+03,0.000000E+00,3.240989E-01,0.000000E+00
03:30:00,1.656105E+03,0.000000E+00,8.547308E-02,0.000000E+00,1.771289E+03,0.000000E+00,9.140096E-02,0.000000E+00,1.968793E+03,0.000000E+00,1.015930E-01,0.000000E+00,1.723231E+03,0.000000E+00,8.892082E-02,0.000000E+00,6.378997E+03,0.000000E+00,3.290476E-01,0.000000E+00
03:45:00,1.687720E+03,0.000000E+00,8.710456E-02,0.000000E+00,1.823503E+03,0.000000E+00,9.409523E-02,0.000000E+00,2.020504E+03,0.000000E+00,1.042613E-01,0.000000E+00,1.775254E+03,0.000000E+00,9.160524E-02,0.000000E+00,6.477872E+03,0.000000E+00,3.341466E-01,0.000000E+00
04:00:00,1.717441E+03,0.000000E+00,8.863831E-02,0.000000E+00,1.875868E+03,0.000000E+00,9.679717E-02,0.000000E+00,2.072265E+03,0.000000E+00,1.069320E-01,0.000000E+00,1.827482E+03,0.000000E+00,9.430016E-02,0.000000E+00,6.581756E+03,0.000000E+00,3.395098E-01,0.000000E+00
04:15:00,1.746627E+03,0.000000E+00,9.014452E-02,0.000000E+00,1.928348E+03,0.000000E+00,9.950501E-02,0.000000E+00,2.124050E+03,0.000000E+00,1.096040E-01,0.000000E+00,1.879874E+03,0.000000E+00,9.700349E-02,0.000000E+00,6.686609E+03,0.000000E+00,3.449324E-01,0.000000E+00
04:30:00,1.775196E+03,0.000000E+00,9.161893E-02,0.000000E+00,1.980910E+03,0.000000E+00,1.022170E-01,0.000000E+00,2.175835E+03,0.000000E+00,1.122758E-01,0.000000E+00,1.932392E+03,0.000000E+00,9.971323E-02,0.000000E+00,6.792438E+03,0.000000E+00,3.503994E-01,0.000000E+00
04:45:00,1.803038E+03,0.000000E+00,9.305586E-02,0.000000E+00,2.033524E+03,0.000000E+00,1.049316E-01,0.000000E+00,2.227599E+03,0.000000E+00,1.149465E-01,0.000000E+00,1.985003E+03,0.000000E+00,1.024276E-01,0.000000E+00,6.899264E+03,0.000000E+00,3.559144E-01,0.000000E+00
05:00:00,1.830029E+03,0.000000E+00,9.444887E-02,0.000000E+00,2.086164E+03,0.000000E+00,1.076475E-01,0.000000E+00,2.279322E+03,0.000000E+00,1.176150E-01,0.000000E+00,2.037673E+03,0.000000E+00,1.051451E-01,0.000000E+00,7.006994E+03,0.000000E+00,3.614746E-01,0.000000E+00
05:15:00,1.856467E+03,0.000000E+00,9.581341E-02,0.000000E+00,2.138729E+03,0.000000E+00,1.103596E-01,0.000000E+00,2.330913E+03,0.000000E+00,1.202768E-01,0.000000E+00,2.090301E+03,0.000000E+00,1.078604E-01,0.000000E+00,7.115123E+03,0.000000E+00,3.670546E-01,0.000000E+00
05:30:00,1.882231E+03,0.000000E+00,9.714319E-02,0.000000E+00,2.191196E+03,0.000000E+00,1.130665E-01,0.000000E+00,2.382354E+03,0.000000E+00,1.229308E-01,0.000000E+00,2.142859E+03,0.000000E+00,1.105721E-01,0.000000E+00,7.223550E+03,0.000000E+00,3.726495E-01,0.000000E+00
05:45:00,1.907112E+03,0.000000E+00,9.842741E-02,0.000000E+00,2.243541E+03,0.000000E+00,1.157672E-01,0.000000E+00,2.433629E+03,0.000000E+00,1.255762E-01,0.000000E+00,2.195324E+03,0.000000E+00,1.132790E-01,0.000000E+00,7.332178E+03,0.000000E+00,3.782545E-01,0.000000E+00
06:00:00,1.931064E+03,0.000000E+00,9.966369E-02,0.000000E+00,2.295747E+03,0.000000E+00,1.184607E-01,0.000000E+00,2.484723E+03,0.000000E+00,1.282123E-01,0.000000E+00,2.247672E+03,0.000000E+00,1.159798E-01,0.000000E+00,7.440928E+03,0.000000E+00,3.838655E-01,0.000000E+00
06:15:00,1.761233E+03,0.000000E+00,9.089866E-02,0.000000E+00,2.075661E+03,0.000000E+00,1.071040E-01,0.000000E+00,2.263488E+03,0.000000E+00,1.167962E-01,0.000000E+00,2.027752E+03,0.000000E+00,1.046317E-01,0.000000E+00,5.954133E+03,0.000000E+00,3.071644E-01,0.000000E+00
