,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
Heating,1809.95,0.00,0.00,0.00,0.00,0.00
Cooling,21404.87,0.00,0.00,0.00,0.00,0.00
Interior Lighting,8276.34,0.00,0.00,0.00,0.00,0.00
Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
Interior Equipment,13602.73,0.00,0.00,0.00,0.00,0.00
Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
Fans,1566.14,0.00,0.00,0.00,0.00,0.00
Pumps,0.00,0.00,0.00,0.00,0.00,0.00
Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
Humidification,0.00,0.00,0.00,0.00,0.00,0.00
Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,
Total End Uses,46660.02,0.00,0.00,0.00,0.00,0.00
