,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,372.56,0.00,635.86,0.00,59.65,0.00,789.44,0.00,0.00,0.00,0.00,0.00,0.00
February,338.85,0.00,567.47,0.00,18.85,0.00,206.65,31.29,0.00,0.00,0.00,0.00,0.00
March,388.74,0.00,639.23,0.00,31.65,0.00,48.61,394.92,0.00,0.00,0.00,0.00,0.00
April,340.42,0.00,589.74,0.00,87.61,0.00,0.00,1326.76,0.00,0.00,0.00,0.00,0.00
May,388.74,0.00,639.23,0.00,150.65,0.00,0.00,2344.30,0.00,0.00,0.00,0.00,0.00
June,372.11,0.00,615.31,0.00,161.76,0.00,0.00,2505.76,0.00,0.00,0.00,0.00,0.00
July,357.05,0.00,613.66,0.00,126.90,0.00,0.00,1879.61,0.00,0.00,0.00,0.00,0.00
August,388.74,0.00,639.23,0.00,126.15,0.00,0.00,1851.40,0.00,0.00,0.00,0.00,0.00
September,356.60,0.00,593.10,0.00,114.35,0.00,0.00,1687.01,0.00,0.00,0.00,0.00,0.00
October,372.56,0.00,635.86,0.00,55.17,0.00,0.00,790.48,0.00,0.00,0.00,0.00,0.00
November,372.11,0.00,615.31,0.00,13.95,0.00,64.39,125.61,0.00,0.00,0.00,0.00,0.00
December,357.05,0.00,613.66,0.00,41.98,0.00,561.82,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,4405.51,,7397.67,,988.68,,1670.91,12937.14,,,,,
Minimum of Months,338.85,0.00,567.47,0.00,13.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,388.74,0.00,639.23,0.00,161.76,0.00,789.44,2505.76,0.00,0.00,0.00,0.00,0.00
