Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.815108E+02,0.000000E+00,4.549019E-02,0.000000E+00,1.305534E+03,0.000000E+00,6.736917E-02,0.000000E+00,1.479464E+03,0.000000E+00,7.634518E-02,0.000000E+00,1.223147E+03,0.000000E+00,6.311681E-02,0.000000E+00,4.885646E+03,0.000000E+00,2.520173E-01,0.000000E+00
00:30:00,9.912440E+02,0.000000E+00,5.115124E-02,0.000000E+00,1.412036E+03,0.000000E+00,7.286354E-02,0.000000E+00,1.584639E+03,0.000000E+00,8.177093E-02,0.000000E+00,1.328082E+03,0.000000E+00,6.853049E-02,0.000000E+00,5.117495E+03,0.000000E+00,2.639364E-01,0.000000E+00
00:45:00,1.099461E+03,0.000000E+00,5.673395E-02,0.000000E+00,1.518289E+03,0.000000E+00,7.834505E-02,0.000000E+00,1.689290E+03,0.000000E+00,8.716959E-02,0.000000E+00,1.433163E+03,0.000000E+00,7.395169E-02,0.000000E+00,5.343518E+03,0.000000E+00,2.755495E-01,0.000000E+00
01:00:00,1.205952E+03,0.000000E+00,6.222745E-02,0.000000E+00,1.624162E+03,0.000000E+00,8.380692E-02,0.000000E+00,1.793318E+03,0.000000E+00,9.253608E-02,0.000000E+00,1.538144E+03,0.000000E+00,7.936763E-02,0.000000E+00,5.564092E+03,0.000000E+00,2.868914E-01,0.000000E+00
01:15:00,1.249840E+03,0.000000E+00,6.449152E-02,0.000000E+00,1.667741E+03,0.000000E+00,8.605561E-02,0.000000E+00,1.835420E+03,0.000000E+00,9.470851E-02,0.000000E+00,1.582115E+03,0.000000E+00,8.163665E-02,0.000000E+00,5.619437E+03,0.000000E+00,2.897480E-01,0.000000E+00
01:30:00,1.292776E+03,0.000000E+00,6.670621E-02,0.000000E+00,1.711591E+03,0.000000E+00,8.831810E-02,0.000000E+00,1.877713E+03,0.000000E+00,9.689054E-02,0.000000E+00,1.626451E+03,0.000000E+00,8.392422E-02,0.000000E+00,5.676259E+03,0.000000E+00,2.926966E-01,0.000000E+00
01:45:00,1.333295E+03,0.000000E+00,6.879583E-02,0.000000E+00,1.755620E+03,0.000000E+00,9.058970E-02,0.000000E+00,1.920113E+03,0.000000E+00,9.907805E-02,0.000000E+00,1.671044E+03,0.000000E+00,8.622500E-02,0.000000E+00,5.733143E+03,0.000000E+00,2.956581E-01,0.000000E+00
02:00:00,1.374157E+03,0.000000E+00,7.090215E-02,0.000000E+00,1.799688E+03,0.000000E+00,9.286338E-02,0.000000E+00,1.962494E+03,0.000000E+00,1.012646E-01,0.000000E+00,1.715743E+03,0.000000E+00,8.853129E-02,0.000000E+00,5.789622E+03,0.000000E+00,2.985924E-01,0.000000E+00
02:15:00,1.415535E+03,0.000000E+00,7.303613E-02,0.000000E+00,1.843929E+03,0.000000E+00,9.514599E-02,0.000000E+00,2.004995E+03,0.000000E+00,1.034574E-01,0.000000E+00,1.760672E+03,0.000000E+00,9.084939E-02,0.000000E+00,5.845975E+03,0.000000E+00,3.015118E-01,0.000000E+00
02:30:00,1.458022E+03,0.000000E+00,7.522801E-02,0.000000E+00,1.888259E+03,0.000000E+00,9.743323E-02,0.000000E+00,2.047541E+03,0.000000E+00,1.056526E-01,0.000000E+00,1.805736E+03,0.000000E+00,9.317458E-02,0.000000E+00,5.902390E+03,0.000000E+00,3.044300E-01,0.000000E+00
02:45:00,1.503335E+03,0.000000E+00,7.756625E-02,0.000000E+00,1.932667E+03,0.000000E+00,9.972461E-02,0.000000E+00,2.090131E+03,0.000000E+00,1.078501E-01,0.000000E+00,1.850920E+03,0.000000E+00,9.550601E-02,0.000000E+00,5.958923E+03,0.000000E+00,3.073519E-01,0.000000E+00
03:00:00,1.548996E+03,0.000000E+00,7.992373E-02,0.000000E+00,1.977213E+03,0.000000E+00,1.020231E-01,0.000000E+00,2.132822E+03,0.000000E+00,1.100528E-01,0.000000E+00,1.896278E+03,0.000000E+00,9.784642E-02,0.000000E+00,6.015638E+03,0.000000E+00,3.102820E-01,0.000000E+00
03:15:00,1.595246E+03,0.000000E+00,8.231081E-02,0.000000E+00,2.021763E+03,0.000000E+00,1.043218E-01,0.000000E+00,2.175491E+03,0.000000E+00,1.122544E-01,0.000000E+00,1.941674E+03,0.000000E+00,1.001888E-01,0.000000E+00,6.072512E+03,0.000000E+00,3.132194E-01,0.000000E+00
03:30:00,1.641921E+03,0.000000E+00,8.471955E-02,0.000000E+00,2.066273E+03,0.000000E+00,1.066184E-01,0.000000E+00,2.218098E+03,0.000000E+00,1.144528E-01,0.000000E+00,1.987057E+03,0.000000E+00,1.025305E-01,0.000000E+00,6.129524E+03,0.000000E+00,3.161635E-01,0.000000E+00
03:45:00,1.688903E+03,0.000000E+00,8.714395E-02,0.000000E+00,2.110721E+03,0.000000E+00,1.089117E-01,0.000000E+00,2.260625E+03,0.000000E+00,1.166470E-01,0.000000E+00,2.032400E+03,0.000000E+00,1.048701E-01,0.000000E+00,6.186652E+03,0.000000E+00,3.191125E-01,0.000000E+00
04:00:00,1.736101E+03,0.000000E+00,8.957936E-02,0.000000E+00,2.155089E+03,0.000000E+00,1.112009E-01,0.000000E+00,2.303059E+03,0.000000E+00,1.188364E-01,0.000000E+00,2.077683E+03,0.000000E+00,1.072064E-01,0.000000E+00,6.243887E+03,0.000000E+00,3.220660E-01,0.000000E+00
04:15:00,1.783446E+03,0.000000E+00,9.202223E-02,0.000000E+00,2.199367E+03,0.000000E+00,1.134853E-01,0.000000E+00,2.345392E+03,0.000000E+00,1.210203E-01,0.000000E+00,2.122891E+03,0.000000E+00,1.095388E-01,0.000000E+00,6.301243E+03,0.000000E+00,3.250248E-01,0.000000E+00
04:30:00,1.830879E+03,0.000000E+00,9.446952E-02,0.000000E+00,2.243542E+03,0.000000E+00,1.157642E-01,0.000000E+00,2.387613E+03,0.000000E+00,1.231984E-01,0.000000E+00,2.168009E+03,0.000000E+00,1.118664E-01,0.000000E+00,6.358714E+03,0.000000E+00,3.279885E-01,0.000000E+00
04:45:00,1.878353E+03,0.000000E+00,9.691879E-02,0.000000E+00,2.287603E+03,0.000000E+00,1.180372E-01,0.000000E+00,2.429716E+03,0.000000E+00,1.253703E-01,0.000000E+00,2.213022E+03,0.000000E+00,1.141886E-01,0.000000E+00,6.416308E+03,0.000000E+00,3.309585E-01,0.000000E+00
05:00:00,1.925824E+03,0.000000E+00,9.936791E-02,0.000000E+00,2.331540E+03,0.000000E+00,1.203038E-01,0.000000E+00,2.471691E+03,0.000000E+00,1.275357E-01,0.000000E+00,2.257918E+03,0.000000E+00,1.165047E-01,0.000000E+00,6.474019E+03,0.000000E+00,3.339346E-01,0.000000E+00
05:15:00,1.973181E+03,0.000000E+00,1.018111E-01,0.000000E+00,2.375266E+03,0.000000E+00,1.225595E-01,0.000000E+00,2.513453E+03,0.000000E+00,1.296900E-01,0.000000E+00,2.302609E+03,0.000000E+00,1.188102E-01,0.000000E+00,6.531440E+03,0.000000E+00,3.368959E-01,0.000000E+00
05:30:00,2.020389E+03,0.000000E+00,1.042466E-01,0.000000E+00,2.418770E+03,0.000000E+00,1.248038E-01,0.000000E+00,2.554994E+03,0.000000E+00,1.318330E-01,0.000000E+00,2.347081E+03,0.000000E+00,1.211045E-01,0.000000E+00,6.588560E+03,0.000000E+00,3.398418E-01,0.000000E+00
05:45:00,2.067419E+03,0.000000E+00,1.066729E-01,0.000000E+00,2.462043E+03,0.000000E+00,1.270362E-01,0.000000E+00,2.596306E+03,0.000000E+00,1.339641E-01,0.000000E+00,2.391323E+03,0.000000E+00,1.233869E-01,0.000000E+00,6.645360E+03,0.000000E+00,3.427712E-01,0.000000E+00
06:00:00,2.114245E+03,0.000000E+00,1.090887E-01,0.000000E+00,2.505077E+03,0.000000E+00,1.292563E-01,0.000000E+00,2.637381E+03,0.000000E+00,1.360831E-01,0.000000E+00,2.435326E+03,0.000000E+00,1.256569E-01,0.000000E+00,6.701831E+03,0.000000E+00,3.456835E-01,0.000000E+00
06:15:00,1.888223E+03,0.000000E+00,9.742639E-02,0.000000E+00,2.275211E+03,0.000000E+00,1.173953E-01,0.000000E+00,2.405571E+03,0.000000E+00,1.241218E-01,0.000000E+00,2.206431E+03,0.000000E+00,1.138462E-01,0.000000E+00,5.162311E+03,0.000000E+00,2.662742E-01,0.000000E+00
06:30:00,1.659010E+03,0.000000E+00,8.560168E-02,0.000000E+00,2.042100E+03,0.000000E+00,1.053693E-01,0.000000E+00,2.170534E+03,0.000000E+00,1.119964E-01,0.000000E+00,1.974296E+03,0.000000E+00,1.018706E-01,0.000000E+00,3.614117E+03,0.000000E+00,1.864212E-01,0.000000E+00
06:45:00,1.426440E+03,0.000000E+00,7.360466E-02,0.000000E+00,1.805610E+03,0.000000E+00,9.317053E-02,0.000000E+00,1.932144E+03,0.000000E+00,9.969971E-02,0.000000E+00,1.738782E+03,0.000000E+00,8.972207E-02,0.000000E+00,2.056047E+03,0.000000E+00,1.060592E-01,0.000000E+00
07:00:00,1.190437E+03,0.000000E+00,6.143123E-02,0.000000E+00,1.565666E+03,0.000000E+00,8.079457E-02,0.000000E+00,1.690321E+03,0.000000E+00,8.722723E-02,0.000000E+00,1.499814E+03,0.000000E+00,7.739633E-02,0.000000E+00,4.882243E+02,0.000000E+00,2.519442E-02,0.000000E+00
07:15:00,1.223536E+03,0.000000E+00,6.314319E-02,0.000000E+00,1.594842E+03,0.000000E+00,8.230541E-02,0.000000E+00,1.717636E+03,0.000000E+00,8.864248E-02,0.000000E+00,1.529962E+03,0.000000E+00,7.895709E-02,0.000000E+00,5.066762E+02,0.000000E+00,2.615045E-02,0.000000E+00
07:30:00,1.252416E+03,0.000000E+00,6.463576E-02,0.000000E+00,1.618334E+03,0.000000E+00,8.352123E-02,0.000000E+00,1.742060E+03,0.000000E+00,8.990693E-02,0.000000E+00,1.557143E+03,0.000000E+00,8.036307E-02,0.000000E+00,5.239151E+02,0.000000E+00,2.704043E-02,0.000000E+00
