Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.817082E+03,0.000000E+00,9.376751E-02,0.000000E+00,2.203858E+03,0.000000E+00,1.137268E-01,0.000000E+00,2.368098E+03,0.000000E+00,1.222022E-01,0.000000E+00,2.152578E+03,0.000000E+00,1.110805E-01,0.000000E+00,5.592372E+03,0.000000E+00,2.885536E-01,0.000000E+00
00:30:00,1.917957E+03,0.000000E+00,9.897104E-02,0.000000E+00,2.300335E+03,0.000000E+00,1.187031E-01,0.000000E+00,2.461511E+03,0.000000E+00,1.270203E-01,0.000000E+00,2.249335E+03,0.000000E+00,1.160713E-01,0.000000E+00,5.826676E+03,0.000000E+00,3.006335E-01,0.000000E+00
00:45:00,2.017840E+03,0.000000E+00,1.041233E-01,0.000000E+00,2.395833E+03,0.000000E+00,1.236289E-01,0.000000E+00,2.553958E+03,0.000000E+00,1.317885E-01,0.000000E+00,2.345126E+03,0.000000E+00,1.210122E-01,0.000000E+00,6.054341E+03,0.000000E+00,3.123706E-01,0.000000E+00
01:00:00,2.116674E+03,0.000000E+00,1.092215E-01,0.000000E+00,2.490303E+03,0.000000E+00,1.285016E-01,0.000000E+00,2.645392E+03,0.000000E+00,1.365044E-01,0.000000E+00,2.439899E+03,0.000000E+00,1.259006E-01,0.000000E+00,6.275343E+03,0.000000E+00,3.237636E-01,0.000000E+00
01:15:00,2.154254E+03,0.000000E+00,1.111605E-01,0.000000E+00,2.523910E+03,0.000000E+00,1.302355E-01,0.000000E+00,2.676768E+03,0.000000E+00,1.381232E-01,0.000000E+00,2.474069E+03,0.000000E+00,1.276636E-01,0.000000E+00,6.326288E+03,0.000000E+00,3.263905E-01,0.000000E+00
01:30:00,2.191734E+03,0.000000E+00,1.130941E-01,0.000000E+00,2.557459E+03,0.000000E+00,1.319663E-01,0.000000E+00,2.708112E+03,0.000000E+00,1.397401E-01,0.000000E+00,2.508194E+03,0.000000E+00,1.294241E-01,0.000000E+00,6.377356E+03,0.000000E+00,3.290225E-01,0.000000E+00
01:45:00,2.229097E+03,0.000000E+00,1.150216E-01,0.000000E+00,2.590940E+03,0.000000E+00,1.336934E-01,0.000000E+00,2.739413E+03,0.000000E+00,1.413547E-01,0.000000E+00,2.542261E+03,0.000000E+00,1.311815E-01,0.000000E+00,6.428566E+03,0.000000E+00,3.316622E-01,0.000000E+00
02:00:00,2.266318E+03,0.000000E+00,1.169418E-01,0.000000E+00,2.624334E+03,0.000000E+00,1.354161E-01,0.000000E+00,2.770652E+03,0.000000E+00,1.429661E-01,0.000000E+00,2.576248E+03,0.000000E+00,1.329347E-01,0.000000E+00,6.479897E+03,0.000000E+00,3.343087E-01,0.000000E+00
02:15:00,2.303532E+03,0.000000E+00,1.188617E-01,0.000000E+00,2.657784E+03,0.000000E+00,1.371417E-01,0.000000E+00,2.801968E+03,0.000000E+00,1.445817E-01,0.000000E+00,2.610295E+03,0.000000E+00,1.346912E-01,0.000000E+00,6.531317E+03,0.000000E+00,3.369603E-01,0.000000E+00
02:30:00,2.340722E+03,0.000000E+00,1.207805E-01,0.000000E+00,2.691278E+03,0.000000E+00,1.388698E-01,0.000000E+00,2.833352E+03,0.000000E+00,1.462009E-01,0.000000E+00,2.644389E+03,0.000000E+00,1.364503E-01,0.000000E+00,6.582811E+03,0.000000E+00,3.396162E-01,0.000000E+00
02:45:00,2.377870E+03,0.000000E+00,1.226971E-01,0.000000E+00,2.724803E+03,0.000000E+00,1.405996E-01,0.000000E+00,2.864788E+03,0.000000E+00,1.478228E-01,0.000000E+00,2.678516E+03,0.000000E+00,1.382110E-01,0.000000E+00,6.634358E+03,0.000000E+00,3.422750E-01,0.000000E+00
03:00:00,2.414960E+03,0.000000E+00,1.246108E-01,0.000000E+00,2.758350E+03,0.000000E+00,1.423304E-01,0.000000E+00,2.896267E+03,0.000000E+00,1.494469E-01,0.000000E+00,2.712664E+03,0.000000E+00,1.399729E-01,0.000000E+00,6.685951E+03,0.000000E+00,3.449361E-01,0.000000E+00
03:15:00,2.451896E+03,0.000000E+00,1.265165E-01,0.000000E+00,2.791827E+03,0.000000E+00,1.440577E-01,0.000000E+00,2.927696E+03,0.000000E+00,1.510685E-01,0.000000E+00,2.746740E+03,0.000000E+00,1.417311E-01,0.000000E+00,6.737569E+03,0.000000E+00,3.475984E-01,0.000000E+00
03:30:00,2.488663E+03,0.000000E+00,1.284135E-01,0.000000E+00,2.825225E+03,0.000000E+00,1.457809E-01,0.000000E+00,2.959067E+03,0.000000E+00,1.526871E-01,0.000000E+00,2.780736E+03,0.000000E+00,1.434852E-01,0.000000E+00,6.789208E+03,0.000000E+00,3.502620E-01,0.000000E+00
03:45:00,2.525250E+03,0.000000E+00,1.303011E-01,0.000000E+00,2.858541E+03,0.000000E+00,1.474998E-01,0.000000E+00,2.990375E+03,0.000000E+00,1.543024E-01,0.000000E+00,2.814646E+03,0.000000E+00,1.452347E-01,0.000000E+00,6.840860E+03,0.000000E+00,3.529256E-01,0.000000E+00
04:00:00,2.561644E+03,0.000000E+00,1.321786E-01,0.000000E+00,2.891774E+03,0.000000E+00,1.492142E-01,0.000000E+00,3.021619E+03,0.000000E+00,1.559142E-01,0.000000E+00,2.848469E+03,0.000000E+00,1.469797E-01,0.000000E+00,6.892526E+03,0.000000E+00,3.555893E-01,0.000000E+00
04:15:00,2.597833E+03,0.000000E+00,1.340455E-01,0.000000E+00,2.924927E+03,0.000000E+00,1.509244E-01,0.000000E+00,3.052803E+03,0.000000E+00,1.575227E-01,0.000000E+00,2.882208E+03,0.000000E+00,1.487201E-01,0.000000E+00,6.944229E+03,0.000000E+00,3.582544E-01,0.000000E+00
04:30:00,2.633788E+03,0.000000E+00,1.359000E-01,0.000000E+00,2.958000E+03,0.000000E+00,1.526304E-01,0.000000E+00,3.083925E+03,0.000000E+00,1.591279E-01,0.000000E+00,2.915862E+03,0.000000E+00,1.504560E-01,0.000000E+00,6.995970E+03,0.000000E+00,3.609209E-01,0.000000E+00
04:45:00,2.669390E+03,0.000000E+00,1.377363E-01,0.000000E+00,2.990995E+03,0.000000E+00,1.543322E-01,0.000000E+00,3.114986E+03,0.000000E+00,1.607299E-01,0.000000E+00,2.949433E+03,0.000000E+00,1.521876E-01,0.000000E+00,7.047762E+03,0.000000E+00,3.635900E-01,0.000000E+00
05:00:00,2.704901E+03,0.000000E+00,1.395678E-01,0.000000E+00,3.023911E+03,0.000000E+00,1.560300E-01,0.000000E+00,3.145985E+03,0.000000E+00,1.623287E-01,0.000000E+00,2.982918E+03,0.000000E+00,1.539147E-01,0.000000E+00,7.099601E+03,0.000000E+00,3.662617E-01,0.000000E+00
05:15:00,2.740260E+03,0.000000E+00,1.413916E-01,0.000000E+00,3.056669E+03,0.000000E+00,1.577196E-01,0.000000E+00,3.176841E+03,0.000000E+00,1.639202E-01,0.000000E+00,3.016239E+03,0.000000E+00,1.556334E-01,0.000000E+00,7.151088E+03,0.000000E+00,3.689154E-01,0.000000E+00
05:30:00,2.775530E+03,0.000000E+00,1.432109E-01,0.000000E+00,3.089267E+03,0.000000E+00,1.594010E-01,0.000000E+00,3.207553E+03,0.000000E+00,1.655042E-01,0.000000E+00,3.049395E+03,0.000000E+00,1.573436E-01,0.000000E+00,7.202215E+03,0.000000E+00,3.715508E-01,0.000000E+00
05:45:00,2.810866E+03,0.000000E+00,1.450337E-01,0.000000E+00,3.121703E+03,0.000000E+00,1.610741E-01,0.000000E+00,3.238117E+03,0.000000E+00,1.670806E-01,0.000000E+00,3.082382E+03,0.000000E+00,1.590451E-01,0.000000E+00,7.252974E+03,0.000000E+00,3.741671E-01,0.000000E+00
06:00:00,2.846044E+03,0.000000E+00,1.468485E-01,0.000000E+00,3.153974E+03,0.000000E+00,1.627387E-01,0.000000E+00,3.268530E+03,0.000000E+00,1.686492E-01,0.000000E+00,3.115197E+03,0.000000E+00,1.607378E-01,0.000000E+00,7.303356E+03,0.000000E+00,3.767641E-01,0.000000E+00
06:15:00,2.608427E+03,0.000000E+00,1.345878E-01,0.000000E+00,2.913402E+03,0.000000E+00,1.503252E-01,0.000000E+00,3.026132E+03,0.000000E+00,1.561416E-01,0.000000E+00,2.875164E+03,0.000000E+00,1.483521E-01,0.000000E+00,5.757709E+03,0.000000E+00,2.970265E-01,0.000000E+00
06:30:00,2.367659E+03,0.000000E+00,1.221669E-01,0.000000E+00,2.669633E+03,0.000000E+00,1.377491E-01,0.000000E+00,2.780575E+03,0.000000E+00,1.434732E-01,0.000000E+00,2.631929E+03,0.000000E+00,1.358036E-01,0.000000E+00,4.203095E+03,0.000000E+00,2.168327E-01,0.000000E+00
06:45:00,2.123621E+03,0.000000E+00,1.095794E-01,0.000000E+00,2.422566E+03,0.000000E+00,1.250057E-01,0.000000E+00,2.531761E+03,0.000000E+00,1.306399E-01,0.000000E+00,2.385390E+03,0.000000E+00,1.230874E-01,0.000000E+00,2.638557E+03,0.000000E+00,1.361281E-01,0.000000E+00
07:00:00,1.876223E+03,0.000000E+00,9.682004E-02,0.000000E+00,2.172107E+03,0.000000E+00,1.120892E-01,0.000000E+00,2.279592E+03,0.000000E+00,1.176356E-01,0.000000E+00,2.135453E+03,0.000000E+00,1.101977E-01,0.000000E+00,1.064217E+03,0.000000E+00,5.491880E-02,0.000000E+00
07:15:00,1.898047E+03,0.000000E+00,9.795281E-02,0.000000E+00,2.190856E+03,0.000000E+00,1.130643E-01,0.000000E+00,2.296648E+03,0.000000E+00,1.185239E-01,0.000000E+00,2.154718E+03,0.000000E+00,1.111993E-01,0.000000E+00,1.076104E+03,0.000000E+00,5.553903E-02,0.000000E+00
07:30:00,1.915535E+03,0.000000E+00,9.886014E-02,0.000000E+00,2.203852E+03,0.000000E+00,1.137410E-01,0.000000E+00,2.310968E+03,0.000000E+00,1.192694E-01,0.000000E+00,2.171058E+03,0.000000E+00,1.120484E-01,0.000000E+00,1.087028E+03,0.000000E+00,5.610399E-02,0.000000E+00
07:45:00,1.915647E+03,0.000000E+00,9.886909E-02,0.000000E+00,2.189992E+03,0.000000E+00,1.130293E-01,0.000000E+00,2.320920E+03,0.000000E+00,1.197870E-01,0.000000E+00,2.182824E+03,0.000000E+00,1.126593E-01,0.000000E+00,1.097636E+03,0.000000E+00,5.665217E-02,0.000000E+00
08:00:00,1.893860E+03,0.000000E+00,9.774665E-02,0.000000E+00,2.146822E+03,0.000000E+00,1.108034E-01,0.000000E+00,2.324819E+03,0.000000E+00,1.199905E-01,0.000000E+00,2.188312E+03,0.000000E+00,1.129448E-01,0.000000E+00,1.106932E+03,0.000000E+00,5.713245E-02,0.000000E+00
08:15:00,1.848567E+03,1.583267E+03,9.541021E-02,1.150842E-01,2.076293E+03,1.599850E+03,1.071645E-01,1.145797E-01,2.321577E+03,1.567847E+03,1.198245E-01,1.138900E-01,2.186621E+03,1.628899E+03,1.128588E-01,1.176427E-01,1.114305E+03,2.287108E+03,5.751333E-02,1.925869E-01
08:30:00,1.780869E+03,3.636664E+03,9.191688E-02,3.140189E-01,1.982282E+03,3.932397E+03,1.023129E-01,3.403525E-01,2.312492E+03,3.621796E+03,1.193564E-01,3.129276E-01,2.179495E+03,3.756236E+03,1.124918E-01,3.235119E-01,1.119801E+03,5.471686E+03,5.779721E-02,5.024039E-01
08:45:00,1.701191E+03,5.428627E+03,8.780489E-02,4.890186E-01,1.882998E+03,5.983001E+03,9.718888E-02,5.405010E-01,2.300008E+03,5.414214E+03,1.187125E-01,4.879919E-01,2.169621E+03,5.611183E+03,1.119826E-01,5.045685E-01,1.123929E+03,8.236653E+03,5.801039E-02,7.728789E-01
