Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.386650E+02,0.000000E+00,4.844102E-02,0.000000E+00,1.512315E+03,0.000000E+00,7.804254E-02,0.000000E+00,1.814608E+03,0.000000E+00,9.364265E-02,0.000000E+00,1.403828E+03,0.000000E+00,7.244339E-02,0.000000E+00,4.733852E+03,0.000000E+00,2.442659E-01,0.000000E+00
00:30:00,1.089453E+03,0.000000E+00,5.622097E-02,0.000000E+00,1.659437E+03,0.000000E+00,8.563318E-02,0.000000E+00,1.961026E+03,0.000000E+00,1.011967E-01,0.000000E+00,1.548708E+03,0.000000E+00,7.991855E-02,0.000000E+00,5.079908E+03,0.000000E+00,2.621101E-01,0.000000E+00
00:45:00,1.238830E+03,0.000000E+00,6.392800E-02,0.000000E+00,1.806927E+03,0.000000E+00,9.324288E-02,0.000000E+00,2.107338E+03,0.000000E+00,1.087453E-01,0.000000E+00,1.694522E+03,0.000000E+00,8.744187E-02,0.000000E+00,5.419844E+03,0.000000E+00,2.796371E-01,0.000000E+00
01:00:00,1.386417E+03,0.000000E+00,7.154253E-02,0.000000E+00,1.954562E+03,0.000000E+00,1.008599E-01,0.000000E+00,2.253390E+03,0.000000E+00,1.162805E-01,0.000000E+00,1.840935E+03,0.000000E+00,9.499603E-02,0.000000E+00,5.752369E+03,0.000000E+00,2.967799E-01,0.000000E+00
01:15:00,1.451740E+03,0.000000E+00,7.491294E-02,0.000000E+00,2.020676E+03,0.000000E+00,1.042717E-01,0.000000E+00,2.318024E+03,0.000000E+00,1.196158E-01,0.000000E+00,1.907519E+03,0.000000E+00,9.843197E-02,0.000000E+00,5.866142E+03,0.000000E+00,3.026415E-01,0.000000E+00
01:30:00,1.514915E+03,0.000000E+00,7.817223E-02,0.000000E+00,2.087054E+03,0.000000E+00,1.076968E-01,0.000000E+00,2.382796E+03,0.000000E+00,1.229580E-01,0.000000E+00,1.974500E+03,0.000000E+00,1.018883E-01,0.000000E+00,5.981679E+03,0.000000E+00,3.085919E-01,0.000000E+00
01:45:00,1.578305E+03,0.000000E+00,8.144232E-02,0.000000E+00,2.153611E+03,0.000000E+00,1.111310E-01,0.000000E+00,2.447636E+03,0.000000E+00,1.263036E-01,0.000000E+00,2.041776E+03,0.000000E+00,1.053597E-01,0.000000E+00,6.099833E+03,0.000000E+00,3.146819E-01,0.000000E+00
02:00:00,1.642397E+03,0.000000E+00,8.474900E-02,0.000000E+00,2.220261E+03,0.000000E+00,1.145701E-01,0.000000E+00,2.512472E+03,0.000000E+00,1.296490E-01,0.000000E+00,2.109244E+03,0.000000E+00,1.088410E-01,0.000000E+00,6.222001E+03,0.000000E+00,3.209835E-01,0.000000E+00
02:15:00,1.708262E+03,0.000000E+00,8.814749E-02,0.000000E+00,2.287154E+03,0.000000E+00,1.180217E-01,0.000000E+00,2.577468E+03,0.000000E+00,1.330026E-01,0.000000E+00,2.177039E+03,0.000000E+00,1.123392E-01,0.000000E+00,6.349262E+03,0.000000E+00,3.275530E-01,0.000000E+00
02:30:00,1.777037E+03,0.000000E+00,9.169647E-02,0.000000E+00,2.354223E+03,0.000000E+00,1.214825E-01,0.000000E+00,2.642566E+03,0.000000E+00,1.363616E-01,0.000000E+00,2.245081E+03,0.000000E+00,1.158502E-01,0.000000E+00,6.478295E+03,0.000000E+00,3.342180E-01,0.000000E+00
02:45:00,1.846559E+03,0.000000E+00,9.528438E-02,0.000000E+00,2.421312E+03,0.000000E+00,1.249442E-01,0.000000E+00,2.707625E+03,0.000000E+00,1.397186E-01,0.000000E+00,2.313203E+03,0.000000E+00,1.193652E-01,0.000000E+00,6.608661E+03,0.000000E+00,3.409493E-01,0.000000E+00
03:00:00,1.916767E+03,0.000000E+00,9.890741E-02,0.000000E+00,2.488401E+03,0.000000E+00,1.284060E-01,0.000000E+00,2.772634E+03,0.000000E+00,1.430730E-01,0.000000E+00,2.381376E+03,0.000000E+00,1.228830E-01,0.000000E+00,6.740227E+03,0.000000E+00,3.477409E-01,0.000000E+00
03:15:00,1.987380E+03,0.000000E+00,1.025513E-01,0.000000E+00,2.555358E+03,0.000000E+00,1.318610E-01,0.000000E+00,2.837463E+03,0.000000E+00,1.464182E-01,0.000000E+00,2.449461E+03,0.000000E+00,1.263962E-01,0.000000E+00,6.872841E+03,0.000000E+00,3.545856E-01,0.000000E+00
03:30:00,2.058247E+03,0.000000E+00,1.062082E-01,0.000000E+00,2.622147E+03,0.000000E+00,1.353074E-01,0.000000E+00,2.902082E+03,0.000000E+00,1.497526E-01,0.000000E+00,2.517416E+03,0.000000E+00,1.299028E-01,0.000000E+00,7.006338E+03,0.000000E+00,3.614753E-01,0.000000E+00
03:45:00,2.129344E+03,0.000000E+00,1.098769E-01,0.000000E+00,2.688833E+03,0.000000E+00,1.387483E-01,0.000000E+00,2.966557E+03,0.000000E+00,1.530794E-01,0.000000E+00,2.585302E+03,0.000000E+00,1.334057E-01,0.000000E+00,7.140788E+03,0.000000E+00,3.684135E-01,0.000000E+00
04:00:00,2.200547E+03,0.000000E+00,1.135510E-01,0.000000E+00,2.755358E+03,0.000000E+00,1.421809E-01,0.000000E+00,3.030836E+03,0.000000E+00,1.563960E-01,0.000000E+00,2.653056E+03,0.000000E+00,1.369017E-01,0.000000E+00,7.275999E+03,0.000000E+00,3.753902E-01,0.000000E+00
04:15:00,2.271744E+03,0.000000E+00,1.172247E-01,0.000000E+00,2.821676E+03,0.000000E+00,1.456027E-01,0.000000E+00,3.094876E+03,0.000000E+00,1.597002E-01,0.000000E+00,2.720623E+03,0.000000E+00,1.403880E-01,0.000000E+00,7.411818E+03,0.000000E+00,3.823975E-01,0.000000E+00
04:30:00,2.342865E+03,0.000000E+00,1.208943E-01,0.000000E+00,2.887762E+03,0.000000E+00,1.490124E-01,0.000000E+00,3.158657E+03,0.000000E+00,1.629909E-01,0.000000E+00,2.787978E+03,0.000000E+00,1.438632E-01,0.000000E+00,7.548145E+03,0.000000E+00,3.894303E-01,0.000000E+00
04:45:00,2.413851E+03,0.000000E+00,1.245569E-01,0.000000E+00,2.953598E+03,0.000000E+00,1.524091E-01,0.000000E+00,3.222160E+03,0.000000E+00,1.662671E-01,0.000000E+00,2.855096E+03,0.000000E+00,1.473261E-01,0.000000E+00,7.684902E+03,0.000000E+00,3.964850E-01,0.000000E+00
05:00:00,2.484650E+03,0.000000E+00,1.282098E-01,0.000000E+00,3.019164E+03,0.000000E+00,1.557919E-01,0.000000E+00,3.285368E+03,0.000000E+00,1.695281E-01,0.000000E+00,2.921956E+03,0.000000E+00,1.507756E-01,0.000000E+00,7.822009E+03,0.000000E+00,4.035576E-01,0.000000E+00
05:15:00,2.555137E+03,0.000000E+00,1.318465E-01,0.000000E+00,3.084364E+03,0.000000E+00,1.591557E-01,0.000000E+00,3.348181E+03,0.000000E+00,1.727687E-01,0.000000E+00,2.988457E+03,0.000000E+00,1.542066E-01,0.000000E+00,7.958997E+03,0.000000E+00,4.106242E-01,0.000000E+00
05:30:00,2.625271E+03,0.000000E+00,1.354651E-01,0.000000E+00,3.149180E+03,0.000000E+00,1.624998E-01,0.000000E+00,3.410581E+03,0.000000E+00,1.759880E-01,0.000000E+00,3.054580E+03,0.000000E+00,1.576182E-01,0.000000E+00,8.095795E+03,0.000000E+00,4.176809E-01,0.000000E+00
05:45:00,2.695015E+03,0.000000E+00,1.390635E-01,0.000000E+00,3.213599E+03,0.000000E+00,1.658233E-01,0.000000E+00,3.472548E+03,0.000000E+00,1.791849E-01,0.000000E+00,3.120310E+03,0.000000E+00,1.610093E-01,0.000000E+00,8.232332E+03,0.000000E+00,4.247242E-01,0.000000E+00
06:00:00,2.764337E+03,0.000000E+00,1.426400E-01,0.000000E+00,3.277605E+03,0.000000E+00,1.691256E-01,0.000000E+00,3.534061E+03,0.000000E+00,1.823584E-01,0.000000E+00,3.185629E+03,0.000000E+00,1.643794E-01,0.000000E+00,8.368550E+03,0.000000E+00,4.317509E-01,0.000000E+00
06:15:00,2.559934E+03,0.000000E+00,1.320925E-01,0.000000E+00,3.067892E+03,0.000000E+00,1.583039E-01,0.000000E+00,3.321831E+03,0.000000E+00,1.714068E-01,0.000000E+00,2.977233E+03,0.000000E+00,1.536257E-01,0.000000E+00,6.908783E+03,0.000000E+00,3.564380E-01,0.000000E+00
06:30:00,2.351389E+03,0.000000E+00,1.213334E-01,0.000000E+00,2.854051E+03,0.000000E+00,1.472714E-01,0.000000E+00,3.105436E+03,0.000000E+00,1.602425E-01,0.000000E+00,2.764713E+03,0.000000E+00,1.426614E-01,0.000000E+00,5.439835E+03,0.000000E+00,2.806606E-01,0.000000E+00
06:45:00,2.138529E+03,0.000000E+00,1.103529E-01,0.000000E+00,2.635941E+03,0.000000E+00,1.360206E-01,0.000000E+00,2.884670E+03,0.000000E+00,1.488550E-01,0.000000E+00,2.547924E+03,0.000000E+00,1.314787E-01,0.000000E+00,3.960799E+03,0.000000E+00,2.043644E-01,0.000000E+00
07:00:00,1.921235E+03,0.000000E+00,9.914474E-02,0.000000E+00,2.413451E+03,0.000000E+00,1.245454E-01,0.000000E+00,2.659553E+03,0.000000E+00,1.372448E-01,0.000000E+00,2.326756E+03,0.000000E+00,1.200715E-01,0.000000E+00,2.471704E+03,0.000000E+00,1.275503E-01,0.000000E+00
07:15:00,1.972619E+03,0.000000E+00,1.018012E-01,0.000000E+00,2.459734E+03,0.000000E+00,1.269400E-01,0.000000E+00,2.703260E+03,0.000000E+00,1.395074E-01,0.000000E+00,2.374359E+03,0.000000E+00,1.225340E-01,0.000000E+00,2.568412E+03,0.000000E+00,1.325518E-01,0.000000E+00
07:30:00,2.017803E+03,0.000000E+00,1.041362E-01,0.000000E+00,2.497923E+03,0.000000E+00,1.289157E-01,0.000000E+00,2.743156E+03,0.000000E+00,1.415722E-01,0.000000E+00,2.417788E+03,0.000000E+00,1.247799E-01,0.000000E+00,2.663768E+03,0.000000E+00,1.374755E-01,0.000000E+00
07:45:00,2.039024E+03,0.000000E+00,1.052339E-01,0.000000E+00,2.499082E+03,0.000000E+00,1.289791E-01,0.000000E+00,2.777301E+03,0.000000E+00,1.433387E-01,0.000000E+00,2.454912E+03,0.000000E+00,1.266992E-01,0.000000E+00,2.757451E+03,0.000000E+00,1.423123E-01,0.000000E+00
08:00:00,2.029258E+03,0.000000E+00,1.047319E-01,0.000000E+00,2.459157E+03,0.000000E+00,1.269211E-01,0.000000E+00,2.803525E+03,0.000000E+00,1.446951E-01,0.000000E+00,2.483630E+03,0.000000E+00,1.281840E-01,0.000000E+00,2.846635E+03,0.000000E+00,1.469168E-01,0.000000E+00
08:15:00,1.985397E+03,2.532689E+03,1.024698E-01,1.665177E-01,2.380016E+03,2.805018E+03,1.228383E-01,1.799843E-01,2.820475E+03,2.574569E+03,1.455721E-01,1.685650E-01,2.502760E+03,2.862698E+03,1.291732E-01,1.893442E-01,2.929258E+03,6.452832E+03,1.511827E-01,4.610987E-01
08:30:00,1.909066E+03,6.191482E+03,9.853148E-02,5.209402E-01,2.265769E+03,6.983559E+03,1.169431E-01,5.829194E-01,2.829688E+03,6.309157E+03,1.460491E-01,5.300904E-01,2.514315E+03,6.508739E+03,1.297710E-01,5.403799E-01,3.004475E+03,1.686360E+04,1.550662E-01,1.462842E+00
08:45:00,1.814419E+03,9.362654E+03,9.364742E-02,8.306480E-01,2.139830E+03,1.062631E+04,1.104438E-01,9.377771E-01,2.833601E+03,9.532073E+03,1.462520E-01,8.447387E-01,2.521203E+03,9.682271E+03,1.301275E-01,8.492577E-01,3.072412E+03,2.581403E+04,1.585738E-01,2.334170E+00
09:00:00,1.708332E+03,1.235502E+04,8.817253E-02,1.123458E+00,2.010938E+03,1.409143E+04,1.037918E-01,1.276412E+00,2.834168E+03,1.255770E+04,1.462820E-01,1.140753E+00,2.525454E+03,1.269033E+04,1.303476E-01,1.143160E+00,3.134121E+03,3.422480E+04,1.617600E-01,3.156238E+00
09:15:00,1.578417E+03,1.268677E+04,8.146762E-02,1.237468E+00,1.868304E+03,1.462369E+04,9.643029E-02,1.423060E+00,2.821216E+03,1.286268E+04,1.456139E-01,1.254174E+00,2.516228E+03,1.272016E+04,1.298720E-01,1.236911E+00,3.188703E+03,3.575785E+04,1.645780E-01,3.476914E+00
09:30:00,1.425479E+03,1.180207E+04,7.357423E-02,1.154825E+00,1.717180E+03,1.369134E+04,8.863040E-02,1.338059E+00,2.794883E+03,1.190227E+04,1.442550E-01,1.164428E+00,2.493261E+03,1.188931E+04,1.286868E-01,1.161606E+00,3.232847E+03,3.301368E+04,1.668572E-01,3.226143E+00
09:45:00,1.262201E+03,1.133738E+04,6.514703E-02,1.110314E+00,1.576747E+03,1.322172E+04,8.138220E-02,1.294078E+00,2.753948E+03,1.137696E+04,1.421424E-01,1.114102E+00,2.454812E+03,1.147697E+04,1.267026E-01,1.123254E+00,3.262624E+03,3.148084E+04,1.683948E-01,3.081560E+00
10:00:00,1.091105E+03,1.100421E+04,5.631618E-02,1.078085E+00,1.447497E+03,1.286994E+04,7.471119E-02,1.260505E+00,2.696797E+03,1.099402E+04,1.391927E-01,1.077050E+00,2.399056E+03,1.119312E+04,1.238250E-01,1.096291E+00,3.274497E+03,3.028736E+04,1.690082E-01,2.966672E+00
10:15:00,9.282725E+02,1.076774E+04,4.791185E-02,1.055085E+00,1.340112E+03,1.259646E+04,6.916864E-02,1.234100E+00,2.631841E+03,1.071565E+04,1.358402E-01,1.049966E+00,2.334747E+03,1.100226E+04,1.205058E-01,1.077941E+00,3.265915E+03,2.935438E+04,1.685657E-01,2.875991E+00
10:30:00,7.747315E+02,1.060345E+04,3.998703E-02,1.039057E+00,1.251436E+03,1.237070E+04,6.459176E-02,1.212151E+00,2.558642E+03,1.051186E+04,1.320621E-01,1.030076E+00,2.261642E+03,1.087502E+04,1.167327E-01,1.065619E+00,3.235440E+03,2.860357E+04,1.669932E-01,2.802686E+00
