Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.450242E+03,0.000000E+00,1.264448E-01,0.000000E+00,2.960973E+03,0.000000E+00,1.528012E-01,0.000000E+00,3.266198E+03,0.000000E+00,1.685519E-01,0.000000E+00,2.893165E+03,0.000000E+00,1.493020E-01,0.000000E+00,7.965354E+03,0.000000E+00,4.110245E-01,0.000000E+00
00:30:00,2.585801E+03,0.000000E+00,1.334381E-01,0.000000E+00,3.090531E+03,0.000000E+00,1.594844E-01,0.000000E+00,3.390747E+03,0.000000E+00,1.749762E-01,0.000000E+00,3.023066E+03,0.000000E+00,1.560030E-01,0.000000E+00,8.293217E+03,0.000000E+00,4.279326E-01,0.000000E+00
00:45:00,2.720454E+03,0.000000E+00,1.403846E-01,0.000000E+00,3.219228E+03,0.000000E+00,1.661232E-01,0.000000E+00,3.514489E+03,0.000000E+00,1.813590E-01,0.000000E+00,3.152138E+03,0.000000E+00,1.626612E-01,0.000000E+00,8.616357E+03,0.000000E+00,4.445969E-01,0.000000E+00
01:00:00,2.854115E+03,0.000000E+00,1.472798E-01,0.000000E+00,3.346990E+03,0.000000E+00,1.727137E-01,0.000000E+00,3.637374E+03,0.000000E+00,1.876975E-01,0.000000E+00,3.280303E+03,0.000000E+00,1.692725E-01,0.000000E+00,8.934684E+03,0.000000E+00,4.610126E-01,0.000000E+00
01:15:00,2.908045E+03,0.000000E+00,1.500626E-01,0.000000E+00,3.395700E+03,0.000000E+00,1.752271E-01,0.000000E+00,3.683122E+03,0.000000E+00,1.900582E-01,0.000000E+00,3.329812E+03,0.000000E+00,1.718272E-01,0.000000E+00,9.036091E+03,0.000000E+00,4.662439E-01,0.000000E+00
01:30:00,2.961769E+03,0.000000E+00,1.528346E-01,0.000000E+00,3.444277E+03,0.000000E+00,1.777334E-01,0.000000E+00,3.728843E+03,0.000000E+00,1.924171E-01,0.000000E+00,3.379219E+03,0.000000E+00,1.743763E-01,0.000000E+00,9.137950E+03,0.000000E+00,4.714972E-01,0.000000E+00
01:45:00,3.015251E+03,0.000000E+00,1.555939E-01,0.000000E+00,3.492690E+03,0.000000E+00,1.802311E-01,0.000000E+00,3.774512E+03,0.000000E+00,1.947732E-01,0.000000E+00,3.428495E+03,0.000000E+00,1.769185E-01,0.000000E+00,9.240203E+03,0.000000E+00,4.767708E-01,0.000000E+00
02:00:00,3.068443E+03,0.000000E+00,1.583383E-01,0.000000E+00,3.540893E+03,0.000000E+00,1.827178E-01,0.000000E+00,3.820094E+03,0.000000E+00,1.971249E-01,0.000000E+00,3.477596E+03,0.000000E+00,1.794517E-01,0.000000E+00,9.342766E+03,0.000000E+00,4.820607E-01,0.000000E+00
02:15:00,3.121533E+03,0.000000E+00,1.610774E-01,0.000000E+00,3.589059E+03,0.000000E+00,1.852028E-01,0.000000E+00,3.865793E+03,0.000000E+00,1.994827E-01,0.000000E+00,3.526718E+03,0.000000E+00,1.819861E-01,0.000000E+00,9.445538E+03,0.000000E+00,4.873618E-01,0.000000E+00
02:30:00,3.174478E+03,0.000000E+00,1.638091E-01,0.000000E+00,3.637085E+03,0.000000E+00,1.876806E-01,0.000000E+00,3.911586E+03,0.000000E+00,2.018455E-01,0.000000E+00,3.575827E+03,0.000000E+00,1.845198E-01,0.000000E+00,9.548443E+03,0.000000E+00,4.926704E-01,0.000000E+00
