Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.823804E+02,0.000000E+00,4.553509E-02,0.000000E+00,1.308821E+03,0.000000E+00,6.753883E-02,0.000000E+00,1.483270E+03,0.000000E+00,7.654165E-02,0.000000E+00,1.226009E+03,0.000000E+00,6.326457E-02,0.000000E+00,4.885148E+03,0.000000E+00,2.519942E-01,0.000000E+00
00:30:00,9.927120E+02,0.000000E+00,5.122702E-02,0.000000E+00,1.415918E+03,0.000000E+00,7.306393E-02,0.000000E+00,1.589046E+03,0.000000E+00,8.199838E-02,0.000000E+00,1.331538E+03,0.000000E+00,6.870887E-02,0.000000E+00,5.117963E+03,0.000000E+00,2.639648E-01,0.000000E+00
00:45:00,1.101528E+03,0.000000E+00,5.684066E-02,0.000000E+00,1.522775E+03,0.000000E+00,7.857662E-02,0.000000E+00,1.694304E+03,0.000000E+00,8.742838E-02,0.000000E+00,1.437223E+03,0.000000E+00,7.416124E-02,0.000000E+00,5.344915E+03,0.000000E+00,2.756276E-01,0.000000E+00
01:00:00,1.208617E+03,0.000000E+00,6.236498E-02,0.000000E+00,1.629260E+03,0.000000E+00,8.407006E-02,0.000000E+00,1.798945E+03,0.000000E+00,9.282652E-02,0.000000E+00,1.542817E+03,0.000000E+00,7.960886E-02,0.000000E+00,5.566362E+03,0.000000E+00,2.870156E-01,0.000000E+00
01:15:00,1.252814E+03,0.000000E+00,6.464505E-02,0.000000E+00,1.673168E+03,0.000000E+00,8.633574E-02,0.000000E+00,1.841371E+03,0.000000E+00,9.501562E-02,0.000000E+00,1.587120E+03,0.000000E+00,8.189496E-02,0.000000E+00,5.622090E+03,0.000000E+00,2.898914E-01,0.000000E+00
01:30:00,1.296043E+03,0.000000E+00,6.687483E-02,0.000000E+00,1.717350E+03,0.000000E+00,8.861531E-02,0.000000E+00,1.883988E+03,0.000000E+00,9.721439E-02,0.000000E+00,1.631789E+03,0.000000E+00,8.419976E-02,0.000000E+00,5.679331E+03,0.000000E+00,2.928599E-01,0.000000E+00
01:45:00,1.337018E+03,0.000000E+00,6.898801E-02,0.000000E+00,1.761710E+03,0.000000E+00,9.090404E-02,0.000000E+00,1.926713E+03,0.000000E+00,9.941869E-02,0.000000E+00,1.676717E+03,0.000000E+00,8.651783E-02,0.000000E+00,5.736698E+03,0.000000E+00,2.958445E-01,0.000000E+00
02:00:00,1.378204E+03,0.000000E+00,7.111123E-02,0.000000E+00,1.806110E+03,0.000000E+00,9.319483E-02,0.000000E+00,1.969419E+03,0.000000E+00,1.016220E-01,0.000000E+00,1.721752E+03,0.000000E+00,8.884141E-02,0.000000E+00,5.793744E+03,0.000000E+00,2.988069E-01,0.000000E+00
02:15:00,1.419926E+03,0.000000E+00,7.326302E-02,0.000000E+00,1.850684E+03,0.000000E+00,9.549460E-02,0.000000E+00,2.012245E+03,0.000000E+00,1.038316E-01,0.000000E+00,1.767016E+03,0.000000E+00,9.117686E-02,0.000000E+00,5.850707E+03,0.000000E+00,3.017573E-01,0.000000E+00
02:30:00,1.462788E+03,0.000000E+00,7.547423E-02,0.000000E+00,1.895345E+03,0.000000E+00,9.779897E-02,0.000000E+00,2.055117E+03,0.000000E+00,1.060436E-01,0.000000E+00,1.812417E+03,0.000000E+00,9.351940E-02,0.000000E+00,5.907748E+03,0.000000E+00,3.047077E-01,0.000000E+00
