Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.826459E+03,0.000000E+00,9.425149E-02,0.000000E+00,2.215234E+03,0.000000E+00,1.143139E-01,0.000000E+00,2.380114E+03,0.000000E+00,1.228224E-01,0.000000E+00,2.163686E+03,0.000000E+00,1.116538E-01,0.000000E+00,5.616047E+03,0.000000E+00,2.897757E-01,0.000000E+00
00:30:00,1.927852E+03,0.000000E+00,9.948170E-02,0.000000E+00,2.312202E+03,0.000000E+00,1.193156E-01,0.000000E+00,2.474001E+03,0.000000E+00,1.276649E-01,0.000000E+00,2.260936E+03,0.000000E+00,1.166700E-01,0.000000E+00,5.851168E+03,0.000000E+00,3.018979E-01,0.000000E+00
00:45:00,2.028253E+03,0.000000E+00,1.046608E-01,0.000000E+00,2.408192E+03,0.000000E+00,1.242667E-01,0.000000E+00,2.566925E+03,0.000000E+00,1.324577E-01,0.000000E+00,2.357221E+03,0.000000E+00,1.216364E-01,0.000000E+00,6.079670E+03,0.000000E+00,3.136782E-01,0.000000E+00
01:00:00,2.127608E+03,0.000000E+00,1.097858E-01,0.000000E+00,2.503158E+03,0.000000E+00,1.291650E-01,0.000000E+00,2.658837E+03,0.000000E+00,1.371983E-01,0.000000E+00,2.452491E+03,0.000000E+00,1.265504E-01,0.000000E+00,6.301524E+03,0.000000E+00,3.251152E-01,0.000000E+00
01:15:00,2.165432E+03,0.000000E+00,1.117373E-01,0.000000E+00,2.536990E+03,0.000000E+00,1.309106E-01,0.000000E+00,2.690428E+03,0.000000E+00,1.388282E-01,0.000000E+00,2.486889E+03,0.000000E+00,1.283253E-01,0.000000E+00,6.352906E+03,0.000000E+00,3.277646E-01,0.000000E+00
01:30:00,2.203154E+03,0.000000E+00,1.136835E-01,0.000000E+00,2.570764E+03,0.000000E+00,1.326529E-01,0.000000E+00,2.721986E+03,0.000000E+00,1.404561E-01,0.000000E+00,2.521243E+03,0.000000E+00,1.300975E-01,0.000000E+00,6.404415E+03,0.000000E+00,3.304194E-01,0.000000E+00
01:45:00,2.240758E+03,0.000000E+00,1.156234E-01,0.000000E+00,2.604469E+03,0.000000E+00,1.343916E-01,0.000000E+00,2.753500E+03,0.000000E+00,1.420817E-01,0.000000E+00,2.555537E+03,0.000000E+00,1.318666E-01,0.000000E+00,6.456068E+03,0.000000E+00,3.330820E-01,0.000000E+00
02:00:00,2.278218E+03,0.000000E+00,1.175559E-01,0.000000E+00,2.638086E+03,0.000000E+00,1.361258E-01,0.000000E+00,2.784951E+03,0.000000E+00,1.437041E-01,0.000000E+00,2.589750E+03,0.000000E+00,1.336315E-01,0.000000E+00,6.507845E+03,0.000000E+00,3.357515E-01,0.000000E+00
02:15:00,2.315671E+03,0.000000E+00,1.194881E-01,0.000000E+00,2.671758E+03,0.000000E+00,1.378629E-01,0.000000E+00,2.816480E+03,0.000000E+00,1.453306E-01,0.000000E+00,2.624023E+03,0.000000E+00,1.353997E-01,0.000000E+00,6.559712E+03,0.000000E+00,3.384262E-01,0.000000E+00
02:30:00,2.353098E+03,0.000000E+00,1.214191E-01,0.000000E+00,2.705475E+03,0.000000E+00,1.396025E-01,0.000000E+00,2.848076E+03,0.000000E+00,1.469607E-01,0.000000E+00,2.658344E+03,0.000000E+00,1.371704E-01,0.000000E+00,6.611655E+03,0.000000E+00,3.411053E-01,0.000000E+00
