Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.934170E+03,0.000000E+00,9.981056E-02,0.000000E+00,2.378726E+03,0.000000E+00,1.227516E-01,0.000000E+00,2.557129E+03,0.000000E+00,1.319579E-01,0.000000E+00,2.323286E+03,0.000000E+00,1.198906E-01,0.000000E+00,6.004715E+03,0.000000E+00,3.098374E-01,0.000000E+00
00:30:00,2.043315E+03,0.000000E+00,1.054408E-01,0.000000E+00,2.482952E+03,0.000000E+00,1.281277E-01,0.000000E+00,2.657998E+03,0.000000E+00,1.371607E-01,0.000000E+00,2.427809E+03,0.000000E+00,1.252821E-01,0.000000E+00,6.253794E+03,0.000000E+00,3.226802E-01,0.000000E+00
00:45:00,2.151497E+03,0.000000E+00,1.110214E-01,0.000000E+00,2.586235E+03,0.000000E+00,1.334551E-01,0.000000E+00,2.757939E+03,0.000000E+00,1.423155E-01,0.000000E+00,2.531401E+03,0.000000E+00,1.306256E-01,0.000000E+00,6.496555E+03,0.000000E+00,3.351968E-01,0.000000E+00
01:00:00,2.258653E+03,0.000000E+00,1.165490E-01,0.000000E+00,2.688520E+03,0.000000E+00,1.387311E-01,0.000000E+00,2.856899E+03,0.000000E+00,1.474197E-01,0.000000E+00,2.634009E+03,0.000000E+00,1.359182E-01,0.000000E+00,6.732961E+03,0.000000E+00,3.473852E-01,0.000000E+00
01:15:00,2.300137E+03,0.000000E+00,1.186894E-01,0.000000E+00,2.725682E+03,0.000000E+00,1.406485E-01,0.000000E+00,2.891648E+03,0.000000E+00,1.492126E-01,0.000000E+00,2.671785E+03,0.000000E+00,1.378673E-01,0.000000E+00,6.791818E+03,0.000000E+00,3.504205E-01,0.000000E+00
01:30:00,2.341501E+03,0.000000E+00,1.208235E-01,0.000000E+00,2.762776E+03,0.000000E+00,1.425622E-01,0.000000E+00,2.926356E+03,0.000000E+00,1.510031E-01,0.000000E+00,2.709508E+03,0.000000E+00,1.398134E-01,0.000000E+00,6.850861E+03,0.000000E+00,3.534642E-01,0.000000E+00
01:45:00,2.382726E+03,0.000000E+00,1.229503E-01,0.000000E+00,2.799790E+03,0.000000E+00,1.444716E-01,0.000000E+00,2.961011E+03,0.000000E+00,1.527907E-01,0.000000E+00,2.747160E+03,0.000000E+00,1.417558E-01,0.000000E+00,6.910097E+03,0.000000E+00,3.565181E-01,0.000000E+00
02:00:00,2.423781E+03,0.000000E+00,1.250683E-01,0.000000E+00,2.836699E+03,0.000000E+00,1.463757E-01,0.000000E+00,2.995587E+03,0.000000E+00,1.545744E-01,0.000000E+00,2.784717E+03,0.000000E+00,1.436933E-01,0.000000E+00,6.969493E+03,0.000000E+00,3.595808E-01,0.000000E+00
02:15:00,2.464814E+03,0.000000E+00,1.271853E-01,0.000000E+00,2.873663E+03,0.000000E+00,1.482827E-01,0.000000E+00,3.030242E+03,0.000000E+00,1.563622E-01,0.000000E+00,2.822333E+03,0.000000E+00,1.456340E-01,0.000000E+00,7.029007E+03,0.000000E+00,3.626500E-01,0.000000E+00
02:30:00,2.505805E+03,0.000000E+00,1.293002E-01,0.000000E+00,2.910667E+03,0.000000E+00,1.501919E-01,0.000000E+00,3.064959E+03,0.000000E+00,1.581534E-01,0.000000E+00,2.859993E+03,0.000000E+00,1.475770E-01,0.000000E+00,7.088615E+03,0.000000E+00,3.657247E-01,0.000000E+00
02:45:00,2.546732E+03,0.000000E+00,1.314118E-01,0.000000E+00,2.947697E+03,0.000000E+00,1.521025E-01,0.000000E+00,3.099723E+03,0.000000E+00,1.599470E-01,0.000000E+00,2.897681E+03,0.000000E+00,1.495215E-01,0.000000E+00,7.148286E+03,0.000000E+00,3.688027E-01,0.000000E+00
03:00:00,2.587575E+03,0.000000E+00,1.335191E-01,0.000000E+00,2.984741E+03,0.000000E+00,1.540138E-01,0.000000E+00,3.134520E+03,0.000000E+00,1.617424E-01,0.000000E+00,2.935381E+03,0.000000E+00,1.514668E-01,0.000000E+00,7.208008E+03,0.000000E+00,3.718833E-01,0.000000E+00
03:15:00,2.628223E+03,0.000000E+00,1.356164E-01,0.000000E+00,3.021695E+03,0.000000E+00,1.559205E-01,0.000000E+00,3.169247E+03,0.000000E+00,1.635341E-01,0.000000E+00,2.972992E+03,0.000000E+00,1.534074E-01,0.000000E+00,7.267755E+03,0.000000E+00,3.749652E-01,0.000000E+00
03:30:00,2.668658E+03,0.000000E+00,1.377027E-01,0.000000E+00,3.058551E+03,0.000000E+00,1.578221E-01,0.000000E+00,3.203895E+03,0.000000E+00,1.653218E-01,0.000000E+00,3.010503E+03,0.000000E+00,1.553428E-01,0.000000E+00,7.327521E+03,0.000000E+00,3.780481E-01,0.000000E+00
03:45:00,2.708857E+03,0.000000E+00,1.397767E-01,0.000000E+00,3.095305E+03,0.000000E+00,1.597184E-01,0.000000E+00,3.238455E+03,0.000000E+00,1.671048E-01,0.000000E+00,3.047907E+03,0.000000E+00,1.572726E-01,0.000000E+00,7.387295E+03,0.000000E+00,3.811309E-01,0.000000E+00
04:00:00,2.748792E+03,0.000000E+00,1.418369E-01,0.000000E+00,3.131954E+03,0.000000E+00,1.616092E-01,0.000000E+00,3.272926E+03,0.000000E+00,1.688831E-01,0.000000E+00,3.085205E+03,0.000000E+00,1.591968E-01,0.000000E+00,7.447080E+03,0.000000E+00,3.842137E-01,0.000000E+00
04:15:00,2.788392E+03,0.000000E+00,1.438797E-01,0.000000E+00,3.168504E+03,0.000000E+00,1.634946E-01,0.000000E+00,3.307306E+03,0.000000E+00,1.706565E-01,0.000000E+00,3.122397E+03,0.000000E+00,1.611155E-01,0.000000E+00,7.506898E+03,0.000000E+00,3.872976E-01,0.000000E+00
04:30:00,2.827766E+03,0.000000E+00,1.459106E-01,0.000000E+00,3.204952E+03,0.000000E+00,1.653747E-01,0.000000E+00,3.341591E+03,0.000000E+00,1.724249E-01,0.000000E+00,3.159484E+03,0.000000E+00,1.630285E-01,0.000000E+00,7.566751E+03,0.000000E+00,3.903827E-01,0.000000E+00
04:45:00,2.867033E+03,0.000000E+00,1.479360E-01,0.000000E+00,3.241301E+03,0.000000E+00,1.672496E-01,0.000000E+00,3.375771E+03,0.000000E+00,1.741877E-01,0.000000E+00,3.196466E+03,0.000000E+00,1.649361E-01,0.000000E+00,7.626649E+03,0.000000E+00,3.934702E-01,0.000000E+00
05:00:00,2.906262E+03,0.000000E+00,1.499596E-01,0.000000E+00,3.277548E+03,0.000000E+00,1.691192E-01,0.000000E+00,3.409800E+03,0.000000E+00,1.759428E-01,0.000000E+00,3.233341E+03,0.000000E+00,1.668381E-01,0.000000E+00,7.686589E+03,0.000000E+00,3.965600E-01,0.000000E+00
05:15:00,2.945492E+03,0.000000E+00,1.519832E-01,0.000000E+00,3.313614E+03,0.000000E+00,1.709795E-01,0.000000E+00,3.443654E+03,0.000000E+00,1.776887E-01,0.000000E+00,3.270029E+03,0.000000E+00,1.687305E-01,0.000000E+00,7.746170E+03,0.000000E+00,3.996314E-01,0.000000E+00
05:30:00,2.984656E+03,0.000000E+00,1.540037E-01,0.000000E+00,3.349494E+03,0.000000E+00,1.728302E-01,0.000000E+00,3.477348E+03,0.000000E+00,1.794264E-01,0.000000E+00,3.306527E+03,0.000000E+00,1.706132E-01,0.000000E+00,7.805383E+03,0.000000E+00,4.026841E-01,0.000000E+00
05:45:00,3.023682E+03,0.000000E+00,1.560169E-01,0.000000E+00,3.385186E+03,0.000000E+00,1.746712E-01,0.000000E+00,3.510898E+03,0.000000E+00,1.811568E-01,0.000000E+00,3.342832E+03,0.000000E+00,1.724858E-01,0.000000E+00,7.864218E+03,0.000000E+00,4.057172E-01,0.000000E+00
06:00:00,3.062556E+03,0.000000E+00,1.580223E-01,0.000000E+00,3.420684E+03,0.000000E+00,1.765023E-01,0.000000E+00,3.544356E+03,0.000000E+00,1.828825E-01,0.000000E+00,3.378939E+03,0.000000E+00,1.743483E-01,0.000000E+00,7.922669E+03,0.000000E+00,4.087306E-01,0.000000E+00
06:15:00,2.828454E+03,0.000000E+00,1.459428E-01,0.000000E+00,3.183163E+03,0.000000E+00,1.642460E-01,0.000000E+00,3.304882E+03,0.000000E+00,1.705257E-01,0.000000E+00,3.142024E+03,0.000000E+00,1.621234E-01,0.000000E+00,6.385078E+03,0.000000E+00,3.294052E-01,0.000000E+00
06:30:00,2.591006E+03,0.000000E+00,1.336929E-01,0.000000E+00,2.942252E+03,0.000000E+00,1.518173E-01,0.000000E+00,3.062107E+03,0.000000E+00,1.580009E-01,0.000000E+00,2.901718E+03,0.000000E+00,1.497258E-01,0.000000E+00,4.838412E+03,0.000000E+00,2.496198E-01,0.000000E+00
06:45:00,2.350090E+03,0.000000E+00,1.212664E-01,0.000000E+00,2.697848E+03,0.000000E+00,1.392113E-01,0.000000E+00,2.815929E+03,0.000000E+00,1.453039E-01,0.000000E+00,2.657917E+03,0.000000E+00,1.371509E-01,0.000000E+00,3.281802E+03,0.000000E+00,1.693231E-01,0.000000E+00
07:00:00,2.105610E+03,0.000000E+00,1.086576E-01,0.000000E+00,2.449842E+03,0.000000E+00,1.264215E-01,0.000000E+00,2.566241E+03,0.000000E+00,1.324279E-01,0.000000E+00,2.410519E+03,0.000000E+00,1.243924E-01,0.000000E+00,1.715343E+03,0.000000E+00,8.851952E-02,0.000000E+00
07:15:00,2.130284E+03,0.000000E+00,1.099378E-01,0.000000E+00,2.470945E+03,0.000000E+00,1.275187E-01,0.000000E+00,2.585745E+03,0.000000E+00,1.334432E-01,0.000000E+00,2.432255E+03,0.000000E+00,1.255220E-01,0.000000E+00,1.735044E+03,0.000000E+00,8.954595E-02,0.000000E+00
07:30:00,2.150140E+03,0.000000E+00,1.109678E-01,0.000000E+00,2.485854E+03,0.000000E+00,1.282948E-01,0.000000E+00,2.602227E+03,0.000000E+00,1.343011E-01,0.000000E+00,2.450800E+03,0.000000E+00,1.264856E-01,0.000000E+00,1.753729E+03,0.000000E+00,9.051269E-02,0.000000E+00
07:45:00,2.150703E+03,0.000000E+00,1.110004E-01,0.000000E+00,2.471542E+03,0.000000E+00,1.275603E-01,0.000000E+00,2.613942E+03,0.000000E+00,1.349101E-01,0.000000E+00,2.464387E+03,0.000000E+00,1.271910E-01,0.000000E+00,1.771823E+03,0.000000E+00,9.144804E-02,0.000000E+00
08:00:00,2.126849E+03,0.000000E+00,1.097716E-01,0.000000E+00,2.424666E+03,0.000000E+00,1.251434E-01,0.000000E+00,2.619116E+03,0.000000E+00,1.351799E-01,0.000000E+00,2.471226E+03,0.000000E+00,1.275465E-01,0.000000E+00,1.787948E+03,0.000000E+00,9.228130E-02,0.000000E+00
08:15:00,2.076721E+03,1.693378E+03,1.071858E-01,1.228962E-01,2.347536E+03,1.819427E+03,1.211640E-01,1.288450E-01,2.616651E+03,1.718745E+03,1.350542E-01,1.240668E-01,2.470376E+03,1.821331E+03,1.275041E-01,1.317419E-01,1.801243E+03,2.811554E+03,9.296821E-02,2.312804E-01
08:30:00,2.001634E+03,3.876982E+03,1.033112E-01,3.349359E-01,2.244042E+03,4.367397E+03,1.158232E-01,3.755566E-01,2.608078E+03,3.965413E+03,1.346126E-01,3.421082E-01,2.463720E+03,4.017849E+03,1.271616E-01,3.443560E-01,1.811798E+03,6.870403E+03,9.351346E-02,6.252770E-01
08:45:00,1.913220E+03,5.783725E+03,9.874839E-02,5.213423E-01,2.133824E+03,6.608815E+03,1.101349E-01,5.943693E-01,2.596022E+03,5.917290E+03,1.339909E-01,5.328773E-01,2.454128E+03,5.942504E+03,1.266670E-01,5.322079E-01,1.820289E+03,1.039138E+04,9.395206E-02,9.694611E-01
09:00:00,1.816966E+03,7.588977E+03,9.378068E-02,6.980926E-01,2.023627E+03,8.751624E+03,1.044475E-01,8.040318E-01,2.582853E+03,7.754333E+03,1.333115E-01,7.127201E-01,2.444013E+03,7.772527E+03,1.261453E-01,7.112714E-01,1.828189E+03,1.370647E+04,9.436002E-02,1.294085E+00
09:15:00,1.704643E+03,7.625677E+03,8.798344E-02,7.446793E-01,1.905531E+03,9.001418E+03,9.835223E-02,8.778347E-01,2.561636E+03,7.784393E+03,1.322165E-01,7.599633E-01,2.425847E+03,7.712798E+03,1.252079E-01,7.520607E-01,1.836104E+03,1.404402E+04,9.476871E-02,1.371315E+00
09:30:00,1.577074E+03,7.117238E+03,8.139918E-02,6.967766E-01,1.782682E+03,8.468321E+03,9.201157E-02,8.285208E-01,2.533301E+03,7.220782E+03,1.307542E-01,7.068293E-01,2.400086E+03,7.230129E+03,1.238783E-01,7.073598E-01,1.843346E+03,1.300555E+04,9.514260E-02,1.273251E+00
09:45:00,1.444654E+03,6.842471E+03,7.456454E-02,6.702875E-01,1.669995E+03,8.195501E+03,8.619538E-02,8.026001E-01,2.497484E+03,6.902244E+03,1.289055E-01,6.761100E-01,2.365934E+03,6.983818E+03,1.221156E-01,6.839639E-01,1.848781E+03,1.240025E+04,9.542321E-02,1.214750E+00
10:00:00,1.309767E+03,6.637508E+03,6.760250E-02,6.503542E-01,1.569236E+03,7.981231E+03,8.099478E-02,7.819153E-01,2.453510E+03,6.661319E+03,1.266359E-01,6.526747E-01,2.322486E+03,6.805752E+03,1.198732E-01,6.667785E-01,1.851373E+03,1.191330E+04,9.555701E-02,1.167233E+00
10:15:00,1.183770E+03,6.485288E+03,6.109931E-02,6.354917E-01,1.488589E+03,7.805372E+03,7.683228E-02,7.648023E-01,2.408250E+03,6.478722E+03,1.242998E-01,6.348434E-01,2.276865E+03,6.677725E+03,1.175185E-01,6.543270E-01,1.850521E+03,1.151741E+04,9.551308E-02,1.128489E+00
10:30:00,1.067754E+03,6.373121E+03,5.511124E-02,6.245197E-01,1.427018E+03,7.651106E+03,7.365433E-02,7.497315E-01,2.361726E+03,6.337865E+03,1.218985E-01,6.210628E-01,2.229263E+03,6.583514E+03,1.150616E-01,6.451290E-01,1.846085E+03,1.118471E+04,9.528412E-02,1.095903E+00
